id,route,feature,module,status,verification_status,consumers,downstream_relations,data_models,tests,docs,chains,evidence,gaps,gap_severity,risk_level,last_verified_at
SOAR-API-POSITION-LIVE-STATUS,GET /dashboard/positions/live-status,positions,api-positions,verified_local,verified_local,SOAR-COMP-RUNTIME-DATA-SECTION,delegates:SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-RECONCILIATION,SOAR-DOC-API-POSITIONS; SOAR-DOC-LIVE-POSITION-RESTART,CHAIN-POSITIONS-CORE,apps/api/src/modules/positions/positions.controller.ts;apps/api/src/modules/positions/livePositionReconciliationLoop.ts,,none,critical,2026-05-24
SOAR-API-POSITION-EXCHANGE-SNAPSHOT,GET /dashboard/positions/exchange-snapshot,positions,api-positions,verified_local,verified_local,SOAR-COMP-RUNTIME-DATA-SECTION,delegates:SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-SNAPSHOT,SOAR-DOC-API-POSITIONS,CHAIN-POSITIONS-CORE,apps/api/src/modules/positions/positions.controller.ts,,none,critical,2026-05-24
SOAR-API-POSITION-TAKEOVER-STATUS,GET /dashboard/positions/takeover-status,positions,api-positions,verified_local,verified_local,SOAR-COMP-RUNTIME-DATA-SECTION,delegates:SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN,SOAR-DOC-API-POSITIONS,CHAIN-POSITIONS-CORE,apps/api/src/modules/positions/positions.controller.ts,,none,critical,2026-05-24
SOAR-API-POSITION-TAKEOVER-REBIND,POST /dashboard/positions/takeover-rebind,positions,api-positions,verified_local,verified_local,SOAR-COMP-RUNTIME-DATA-SECTION,delegates:SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN,SOAR-DOC-API-POSITIONS,CHAIN-POSITIONS-CORE,apps/api/src/modules/positions/positions.controller.ts,,none,critical,2026-05-24
SOAR-API-POSITION-ORPHAN-REPAIR,POST /dashboard/positions/orphan-repair,positions,api-positions,verified_local,verified_local,SOAR-COMP-RUNTIME-DATA-SECTION,delegates:SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN,SOAR-DOC-API-POSITIONS,CHAIN-POSITIONS-CORE,apps/api/src/modules/positions/positions.controller.ts,,none,critical,2026-05-24
SOAR-API-POSITION-MANAGEMENT-MODE,PATCH /dashboard/positions/:id/management-mode,positions,api-positions,verified_local,verified_local,SOAR-COMP-RUNTIME-DATA-SECTION,delegates:SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-SERVICE,SOAR-DOC-API-POSITIONS,,apps/api/src/modules/positions/positions.controller.ts,not_in_function_chain,medium,critical,2026-05-24
SOAR-API-POSITION-MANUAL-UPDATE,PATCH /dashboard/positions/:id/manual-update,positions,api-positions,verified_local,verified_local,SOAR-WEB-POSITIONS-SERVICE; SOAR-COMP-RUNTIME-DATA-PRESENTERS,delegates:SOAR-CONTROLLER-POSITIONS,SOAR-DB-POSITION,SOAR-TEST-POSITIONS-SERVICE; SOAR-TEST-WEB-POSITIONS,SOAR-DOC-API-POSITIONS; SOAR-DOC-WEB-POSITIONS,CHAIN-POSITIONS-CORE,apps/api/src/modules/positions/positions.controller.ts,,none,critical,2026-05-24
SOAR-API-BOT-RUNTIME-GRAPH,GET /dashboard/bots/:id/runtime-graph,bot-runtime,api-bots,verified_local,verified_local,SOAR-COMP-BOTS-MANAGEMENT,,SOAR-DB-BOT; SOAR-DB-RUNTIME-SESSION,SOAR-TEST-BOT-RUNTIME-API,SOAR-DOC-API-BOTS,CHAIN-BOT-SETUP,apps/api/src/modules/bots/bots.controller.ts,,none,high,2026-05-24
SOAR-API-BOT-RUNTIME-AGGREGATE,GET /dashboard/bots/:id/runtime-monitoring/aggregate,bot-runtime,api-bots,verified_local,verified_local,SOAR-COMP-BOTS-MANAGEMENT; SOAR-COMP-HOME-LIVE-WIDGETS; SOAR-SERVICE-WEB-BOTS-API; SOAR-SERVICE-BOTS-MONITORING-AGGREGATE,delegates:SOAR-CONTROLLER-BOTS,SOAR-DB-RUNTIME-SESSION; SOAR-DB-POSITION; SOAR-DB-ORDER; SOAR-DB-TRADE,SOAR-TEST-BOT-RUNTIME-API; SOAR-TEST-BOT-RUNTIME-WEB,SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS,CHAIN-BOT-RUNTIME-CORE; CHAIN-WEB-RUNTIME-SURFACES,apps/api/src/modules/bots/bots.controller.ts,,none,critical,2026-05-24
SOAR-API-BOT-RUNTIME-SESSIONS,GET /dashboard/bots/:id/runtime-sessions,bot-runtime,api-bots,verified_local,verified_local,SOAR-COMP-BOTS-MANAGEMENT,,SOAR-DB-RUNTIME-SESSION,SOAR-TEST-BOT-RUNTIME-API,SOAR-DOC-API-BOTS,CHAIN-BOT-RUNTIME-CORE,apps/api/src/modules/bots/bots.controller.ts,,none,high,2026-05-24
SOAR-API-BOT-RUNTIME-SESSION-GET,GET /dashboard/bots/:id/runtime-sessions/:sessionId,bot-runtime,api-bots,verified_local,verified_local,SOAR-COMP-BOTS-MANAGEMENT,,SOAR-DB-RUNTIME-SESSION,SOAR-TEST-BOT-RUNTIME-API,SOAR-DOC-API-BOTS,CHAIN-BOT-RUNTIME-CORE,apps/api/src/modules/bots/bots.controller.ts,,none,high,2026-05-24
SOAR-API-BOT-RUNTIME-SYMBOL-STATS,GET /dashboard/bots/:id/runtime-sessions/:sessionId/symbol-stats,bot-runtime,api-bots,verified_local,verified_local,SOAR-COMP-BOTS-MANAGEMENT,,SOAR-DB-RUNTIME-SESSION,SOAR-TEST-BOT-RUNTIME-API,SOAR-DOC-API-BOTS,CHAIN-BOT-RUNTIME-CORE,apps/api/src/modules/bots/bots.controller.ts,,none,high,2026-05-24
SOAR-API-BOT-RUNTIME-TRADES,GET /dashboard/bots/:id/runtime-sessions/:sessionId/trades,bot-runtime,api-bots,verified_local,verified_local,SOAR-COMP-BOTS-MANAGEMENT,,SOAR-DB-TRADE,SOAR-TEST-BOT-RUNTIME-API,SOAR-DOC-API-BOTS,CHAIN-BOT-RUNTIME-CORE,apps/api/src/modules/bots/bots.controller.ts,,none,high,2026-05-24
SOAR-API-BOT-RUNTIME-CLOSE-POSITION,POST /dashboard/bots/:id/runtime-sessions/:sessionId/positions/:positionId/close,bot-runtime,api-bots,verified_local,verified_local,SOAR-COMP-BOTS-MANAGEMENT; SOAR-COMP-RUNTIME-DATA-PRESENTERS; SOAR-SERVICE-WEB-BOTS-API; SOAR-HOOK-CLOSE-RUNTIME-POSITION-ACTION,delegates:SOAR-CONTROLLER-BOTS,SOAR-DB-POSITION; SOAR-DB-ORDER,SOAR-TEST-BOT-RUNTIME-API; SOAR-TEST-BOT-RUNTIME-WEB,SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS,CHAIN-BOT-RUNTIME-CORE,apps/api/src/modules/bots/bots.controller.ts,,none,critical,2026-05-24
SOAR-API-WALLET-LIST,GET /dashboard/wallets,wallets,api-wallets,verified_local,verified_local,SOAR-SERVICE-WEB-WALLETS,routes_to:SOAR-CONTROLLER-WALLETS,SOAR-DB-WALLET,SOAR-TEST-WALLETS-API,SOAR-DOC-API-WALLETS,CHAIN-WALLETS-CORE,apps/api/src/modules/wallets/wallets.controller.ts;apps/api/src/modules/wallets/wallets.service.ts,,none,high,2026-05-24
SOAR-API-WALLET-METADATA,GET /dashboard/wallets/metadata,wallets,api-wallets,verified_local,verified_local,SOAR-SERVICE-WEB-WALLETS,,SOAR-DB-WALLET,SOAR-TEST-WALLETS-API,SOAR-DOC-API-WALLETS,CHAIN-WALLETS-CORE,apps/api/src/modules/wallets/wallets.controller.ts;apps/api/src/modules/wallets/wallets.service.ts,,none,high,2026-05-24
SOAR-API-WALLET-PREVIEW-BALANCE,POST /dashboard/wallets/preview-balance,wallets,api-wallets,verified_local,verified_local,SOAR-SERVICE-WEB-WALLETS; SOAR-DB-API-KEY,,SOAR-DB-WALLET,SOAR-TEST-WALLETS-API; SOAR-TEST-EXCHANGE-AUTH-READ,SOAR-DOC-API-WALLETS,CHAIN-WALLETS-CORE; CHAIN-PROFILE-API-KEYS,apps/api/src/modules/wallets/wallets.controller.ts;apps/api/src/modules/wallets/wallets.service.ts,,none,critical,2026-05-24
SOAR-API-WALLET-GET,GET /dashboard/wallets/:id,wallets,api-wallets,verified_local,verified_local,SOAR-SERVICE-WEB-WALLETS,,SOAR-DB-WALLET,SOAR-TEST-WALLETS-API,SOAR-DOC-API-WALLETS,CHAIN-WALLETS-CORE,apps/api/src/modules/wallets/wallets.controller.ts;apps/api/src/modules/wallets/wallets.service.ts,,none,high,2026-05-24
SOAR-API-WALLET-CREATE,POST /dashboard/wallets,wallets,api-wallets,verified_local,verified_local,SOAR-SERVICE-WEB-WALLETS; SOAR-FEATURE-BOT-RUNTIME,routes_to:SOAR-CONTROLLER-WALLETS,SOAR-DB-WALLET,SOAR-TEST-WALLETS-API,SOAR-DOC-API-WALLETS,CHAIN-WALLETS-CORE,apps/api/src/modules/wallets/wallets.controller.ts;apps/api/src/modules/wallets/wallets.service.ts,,none,critical,2026-05-24
SOAR-API-WALLET-UPDATE,PUT /dashboard/wallets/:id,wallets,api-wallets,verified_local,verified_local,SOAR-SERVICE-WEB-WALLETS,routes_to:SOAR-CONTROLLER-WALLETS,SOAR-DB-WALLET; SOAR-DB-BOT,SOAR-TEST-WALLETS-API,SOAR-DOC-API-WALLETS,CHAIN-WALLETS-CORE,apps/api/src/modules/wallets/wallets.controller.ts;apps/api/src/modules/wallets/wallets.service.ts,,none,critical,2026-05-24
SOAR-API-WALLET-DELETE,DELETE /dashboard/wallets/:id,wallets,api-wallets,verified_local,verified_local,SOAR-SERVICE-WEB-WALLETS,,SOAR-DB-WALLET; SOAR-DB-BOT,SOAR-TEST-WALLETS-API,SOAR-DOC-API-WALLETS,CHAIN-WALLETS-CORE,apps/api/src/modules/wallets/wallets.controller.ts;apps/api/src/modules/wallets/wallets.service.ts,,none,critical,2026-05-24
SOAR-API-WALLET-RESET-PAPER,POST /dashboard/wallets/:id/reset-paper,wallets,api-wallets,verified_local,verified_local,SOAR-SERVICE-WEB-WALLETS,routes_to:SOAR-CONTROLLER-WALLETS,SOAR-DB-WALLET; SOAR-DB-POSITION; SOAR-DB-ORDER,SOAR-TEST-WALLETS-API; SOAR-TEST-WALLETS-WEB,SOAR-DOC-API-WALLETS; SOAR-DOC-WEB-WALLETS,CHAIN-WALLETS-CORE,apps/api/src/modules/wallets/wallets.controller.ts;apps/api/src/modules/wallets/wallets.service.ts,,none,critical,2026-05-24
SOAR-API-WALLET-PERFORMANCE-SUMMARY,GET /dashboard/wallets/:id/performance-summary,wallets,api-wallets,verified_local,verified_local,SOAR-SERVICE-WEB-WALLETS,,SOAR-DB-WALLET; SOAR-DB-POSITION,SOAR-TEST-WALLET-LEDGER; SOAR-TEST-WALLETS-API,SOAR-DOC-API-WALLETS,CHAIN-WALLETS-CORE,apps/api/src/modules/wallets/wallets.controller.ts;apps/api/src/modules/wallets/wallets.service.ts,,none,critical,2026-05-24
SOAR-API-WALLET-EQUITY-TIMELINE,GET /dashboard/wallets/:id/equity-timeline,wallets,api-wallets,verified_local,verified_local,SOAR-SERVICE-WEB-WALLETS,,SOAR-DB-WALLET,SOAR-TEST-WALLET-LEDGER; SOAR-TEST-WALLETS-API,SOAR-DOC-API-WALLETS,CHAIN-WALLETS-CORE,apps/api/src/modules/wallets/wallets.controller.ts;apps/api/src/modules/wallets/wallets.service.ts,,none,critical,2026-05-24
SOAR-API-WALLET-CASHFLOW-EVENTS,GET /dashboard/wallets/:id/cashflow-events,wallets,api-wallets,verified_local,verified_local,SOAR-SERVICE-WEB-WALLETS,,SOAR-DB-WALLET,SOAR-TEST-WALLET-LEDGER; SOAR-TEST-WALLETS-API,SOAR-DOC-API-WALLETS,CHAIN-WALLETS-CORE,apps/api/src/modules/wallets/wallets.controller.ts;apps/api/src/modules/wallets/wallets.service.ts,,none,critical,2026-05-24
SOAR-API-PROFILE-APIKEY-LIST,GET /dashboard/profile/apiKeys,profile-api-keys,api-profile,verified_local,verified_local,SOAR-SERVICE-WEB-API-KEYS,routes_to:SOAR-CONTROLLER-PROFILE-API-KEYS,SOAR-DB-API-KEY,SOAR-TEST-PROFILE-API-KEYS-API,SOAR-DOC-API-PROFILE,CHAIN-PROFILE-API-KEYS,apps/api/src/modules/profile/apiKey/apiKey.controller.ts;apps/api/src/modules/profile/apiKey/apiKey.service.ts,,none,critical,2026-05-24
SOAR-API-PROFILE-APIKEY-CREATE,POST /dashboard/profile/apiKeys,profile-api-keys,api-profile,verified_local,verified_local,SOAR-SERVICE-WEB-API-KEYS; SOAR-FEATURE-WALLETS,routes_to:SOAR-CONTROLLER-PROFILE-API-KEYS,SOAR-DB-API-KEY; SOAR-DB-USER; SOAR-DB-LOG,SOAR-TEST-PROFILE-API-KEYS-API,SOAR-DOC-API-PROFILE,CHAIN-PROFILE-API-KEYS,apps/api/src/modules/profile/apiKey/apiKey.controller.ts;apps/api/src/modules/profile/apiKey/apiKey.service.ts,,none,critical,2026-05-24
SOAR-API-PROFILE-APIKEY-UPDATE,PATCH /dashboard/profile/apiKeys/:id,profile-api-keys,api-profile,verified_local,verified_local,SOAR-SERVICE-WEB-API-KEYS,,SOAR-DB-API-KEY; SOAR-DB-LOG,SOAR-TEST-PROFILE-API-KEYS-API,SOAR-DOC-API-PROFILE,CHAIN-PROFILE-API-KEYS,apps/api/src/modules/profile/apiKey/apiKey.controller.ts;apps/api/src/modules/profile/apiKey/apiKey.service.ts,,none,critical,2026-05-24
SOAR-API-PROFILE-APIKEY-DELETE,DELETE /dashboard/profile/apiKeys/:id,profile-api-keys,api-profile,verified_local,verified_local,SOAR-SERVICE-WEB-API-KEYS,,SOAR-DB-API-KEY; SOAR-DB-LOG,SOAR-TEST-PROFILE-API-KEYS-API,SOAR-DOC-API-PROFILE,CHAIN-PROFILE-API-KEYS,apps/api/src/modules/profile/apiKey/apiKey.controller.ts;apps/api/src/modules/profile/apiKey/apiKey.service.ts,,none,critical,2026-05-24
SOAR-API-PROFILE-APIKEY-TEST,POST /dashboard/profile/apiKeys/test,profile-api-keys,api-profile,verified_local,verified_local,SOAR-SERVICE-WEB-API-KEYS,routes_to:SOAR-CONTROLLER-PROFILE-API-KEYS,SOAR-DB-LOG,SOAR-TEST-PROFILE-API-KEY-PROBE; SOAR-TEST-PROFILE-API-KEYS-API,SOAR-DOC-API-PROFILE,CHAIN-PROFILE-API-KEYS,apps/api/src/modules/profile/apiKey/apiKey.controller.ts;apps/api/src/modules/profile/apiKey/apiKey.service.ts,,none,critical,2026-05-24
SOAR-API-PROFILE-APIKEY-STORED-TEST,POST /dashboard/profile/apiKeys/:id/test,profile-api-keys,api-profile,verified_local,verified_local,SOAR-SERVICE-WEB-API-KEYS,routes_to:SOAR-CONTROLLER-PROFILE-API-KEYS,SOAR-DB-API-KEY; SOAR-DB-LOG,SOAR-TEST-PROFILE-API-KEY-PROBE; SOAR-TEST-PROFILE-API-KEYS-API,SOAR-DOC-API-PROFILE,CHAIN-PROFILE-API-KEYS,apps/api/src/modules/profile/apiKey/apiKey.controller.ts;apps/api/src/modules/profile/apiKey/apiKey.service.ts,,none,critical,2026-05-24
SOAR-API-PROFILE-APIKEY-ROTATE,POST /dashboard/profile/apiKeys/:id/rotate,profile-api-keys,api-profile,verified_local,verified_local,SOAR-SERVICE-WEB-API-KEYS,routes_to:SOAR-CONTROLLER-PROFILE-API-KEYS,SOAR-DB-API-KEY; SOAR-DB-LOG,SOAR-TEST-PROFILE-API-KEYS-API,SOAR-DOC-API-PROFILE,CHAIN-PROFILE-API-KEYS,apps/api/src/modules/profile/apiKey/apiKey.controller.ts;apps/api/src/modules/profile/apiKey/apiKey.service.ts,,none,critical,2026-05-24
SOAR-API-PROFILE-APIKEY-REVOKE,POST /dashboard/profile/apiKeys/:id/revoke,profile-api-keys,api-profile,verified_local,verified_local,SOAR-SERVICE-WEB-API-KEYS,routes_to:SOAR-CONTROLLER-PROFILE-API-KEYS,SOAR-DB-API-KEY; SOAR-DB-LOG,SOAR-TEST-PROFILE-API-KEYS-API,SOAR-DOC-API-PROFILE,CHAIN-PROFILE-API-KEYS,apps/api/src/modules/profile/apiKey/apiKey.controller.ts;apps/api/src/modules/profile/apiKey/apiKey.service.ts,,none,critical,2026-05-24
SOAR-API-BOT-LIST,GET /dashboard/bots,bot-setup,api-bots,verified_local,verified_local,SOAR-SERVICE-WEB-BOTS-API,routes_to:SOAR-CONTROLLER-BOTS,SOAR-DB-BOT,SOAR-TEST-BOT-SETUP-API,SOAR-DOC-API-BOTS,CHAIN-BOT-SETUP,apps/api/src/modules/bots/bots.controller.ts;apps/api/src/modules/bots/bots.service.ts,,none,high,2026-05-24
SOAR-API-BOT-GET,GET /dashboard/bots/:id,bot-setup,api-bots,verified_local,verified_local,SOAR-SERVICE-WEB-BOTS-API,,SOAR-DB-BOT; SOAR-DB-BOT-MARKET-GROUP,SOAR-TEST-BOT-SETUP-API,SOAR-DOC-API-BOTS,CHAIN-BOT-SETUP,apps/api/src/modules/bots/bots.controller.ts;apps/api/src/modules/bots/bots.service.ts,,none,high,2026-05-24
SOAR-API-BOT-CREATE,POST /dashboard/bots,bot-setup,api-bots,verified_local,verified_local,SOAR-SERVICE-WEB-BOTS-API,routes_to:SOAR-CONTROLLER-BOTS,SOAR-DB-BOT; SOAR-DB-WALLET; SOAR-DB-API-KEY; SOAR-DB-STRATEGY; SOAR-DB-MARKET-UNIVERSE,SOAR-TEST-BOT-SETUP-API,SOAR-DOC-API-BOTS,CHAIN-BOT-SETUP,apps/api/src/modules/bots/bots.controller.ts;apps/api/src/modules/bots/bots.service.ts,,none,critical,2026-05-24
SOAR-API-BOT-UPDATE,PUT /dashboard/bots/:id,bot-setup,api-bots,verified_local,verified_local,SOAR-SERVICE-WEB-BOTS-API,routes_to:SOAR-CONTROLLER-BOTS,SOAR-DB-BOT; SOAR-DB-WALLET; SOAR-DB-BOT-MARKET-GROUP,SOAR-TEST-BOT-SETUP-API,SOAR-DOC-API-BOTS,CHAIN-BOT-SETUP,apps/api/src/modules/bots/bots.controller.ts;apps/api/src/modules/bots/bots.service.ts,,none,critical,2026-05-24
SOAR-API-BOT-DELETE,DELETE /dashboard/bots/:id,bot-setup,api-bots,verified_local,verified_local,SOAR-SERVICE-WEB-BOTS-API,routes_to:SOAR-CONTROLLER-BOTS,SOAR-DB-BOT; SOAR-DB-RUNTIME-SESSION; SOAR-DB-POSITION; SOAR-DB-ORDER,SOAR-TEST-BOT-SETUP-API,SOAR-DOC-API-BOTS,CHAIN-BOT-SETUP,apps/api/src/modules/bots/bots.controller.ts;apps/api/src/modules/bots/bots.service.ts,,none,critical,2026-05-24
SOAR-API-BOT-MARKET-GROUPS-LIST,GET /dashboard/bots/:id/market-groups,bot-setup,api-bots,verified_local,verified_local,SOAR-SERVICE-WEB-BOTS-API,,SOAR-DB-BOT-MARKET-GROUP,SOAR-TEST-BOT-SETUP-API,SOAR-DOC-API-BOTS,CHAIN-BOT-SETUP,apps/api/src/modules/bots/bots.controller.ts,,none,high,2026-05-24
SOAR-API-BOT-MARKET-GROUP-CREATE,POST /dashboard/bots/:id/market-groups,bot-setup,api-bots,verified_local,verified_local,SOAR-SERVICE-WEB-BOTS-API,,SOAR-DB-BOT-MARKET-GROUP; SOAR-DB-MARKET-UNIVERSE,SOAR-TEST-BOT-SETUP-API,SOAR-DOC-API-BOTS,CHAIN-BOT-SETUP,apps/api/src/modules/bots/bots.controller.ts,,none,critical,2026-05-24
SOAR-API-BOT-MARKET-GROUP-STRATEGY-ATTACH,POST /dashboard/bots/:id/market-groups/:groupId/strategies,bot-setup,api-bots,verified_local,verified_local,SOAR-SERVICE-WEB-BOTS-API,,SOAR-DB-MARKET-GROUP-STRATEGY-LINK; SOAR-DB-STRATEGY,SOAR-TEST-BOT-SETUP-API,SOAR-DOC-API-BOTS,CHAIN-BOT-SETUP,apps/api/src/modules/bots/bots.controller.ts,,none,critical,2026-05-24
SOAR-API-STRATEGY-LIST,GET /dashboard/strategies,strategies,api-strategies,verified_local,verified_local,SOAR-SERVICE-WEB-STRATEGIES,routes_to:SOAR-CONTROLLER-STRATEGIES,SOAR-DB-STRATEGY,SOAR-TEST-STRATEGIES-API,SOAR-DOC-API-STRATEGIES,CHAIN-STRATEGIES,apps/api/src/modules/strategies/strategies.controller.ts;apps/api/src/modules/strategies/strategies.service.ts,,none,high,2026-05-24
SOAR-API-STRATEGY-IMPORT,POST /dashboard/strategies/import,strategies,api-strategies,verified_local,verified_local,SOAR-SERVICE-WEB-STRATEGIES,routes_to:SOAR-CONTROLLER-STRATEGIES,SOAR-DB-STRATEGY,SOAR-TEST-STRATEGIES-API,SOAR-DOC-API-STRATEGIES,CHAIN-STRATEGIES,apps/api/src/modules/strategies/strategies.controller.ts;apps/api/src/modules/strategies/strategies.service.ts,,none,critical,2026-05-24
SOAR-API-STRATEGY-GET,GET /dashboard/strategies/:id,strategies,api-strategies,verified_local,verified_local,SOAR-SERVICE-WEB-STRATEGIES,routes_to:SOAR-CONTROLLER-STRATEGIES,SOAR-DB-STRATEGY,SOAR-TEST-STRATEGIES-API,SOAR-DOC-API-STRATEGIES,CHAIN-STRATEGIES,apps/api/src/modules/strategies/strategies.controller.ts;apps/api/src/modules/strategies/strategies.service.ts,,none,high,2026-05-24
