id,feature,name,trigger,status,weakest_node_status,entry_pages,ui_nodes,api_routes,functions,data_models,tests,docs,evidence,gaps,gap_severity,risk_level,last_verified_at,notes
CHAIN-PROFILE-API-KEYS,profile-api-keys,Profile API Keys credential lifecycle chain,SOAR-FEATURE-PROFILE-API-KEYS,verified_local,verified_local,SOAR-PAGE-PROFILE,SOAR-PAGE-PROFILE; SOAR-COMP-API-KEYS-LIST; SOAR-COMP-API-KEY-FORM; SOAR-HOOK-USE-API-KEYS,SOAR-API-PROFILE-APIKEY-LIST; SOAR-API-PROFILE-APIKEY-CREATE; SOAR-API-PROFILE-APIKEY-UPDATE; SOAR-API-PROFILE-APIKEY-DELETE; SOAR-API-PROFILE-APIKEY-TEST; SOAR-API-PROFILE-APIKEY-STORED-TEST; SOAR-API-PROFILE-APIKEY-ROTATE; SOAR-API-PROFILE-APIKEY-REVOKE; SOAR-API-WALLET-PREVIEW-BALANCE,SOAR-HOOK-USE-API-KEYS; SOAR-SERVICE-WEB-API-KEYS; SOAR-CONTROLLER-PROFILE-API-KEYS; SOAR-TYPES-PROFILE-API-KEYS; SOAR-SERVICE-PROFILE-API-KEYS; SOAR-SERVICE-PROFILE-API-KEY-PROBE; SOAR-SERVICE-EXCHANGE-API-KEY-PROBE-CLIENT; SOAR-SERVICE-EXCHANGE-CAPABILITIES,SOAR-DB-API-KEY; SOAR-DB-LOG; SOAR-DB-USER,SOAR-TEST-PROFILE-API-KEYS-API; SOAR-TEST-PROFILE-API-KEY-PROBE; SOAR-TEST-PROFILE-API-KEYS-WEB; SOAR-TEST-EXCHANGE-API-KEY-PROBE; SOAR-TEST-EXCHANGE-CAPABILITY-CONTRACTS; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-AUTH-SESSION; SOAR-TEST-WALLETS-API; SOAR-TEST-WALLETS-WEB; SOAR-TEST-WALLET-LEDGER; SOAR-TEST-EXCHANGE-AUTH-READ; SOAR-TEST-BOT-RUNTIME-API; SOAR-TEST-BOT-RUNTIME-WEB,SOAR-DOC-API-PROFILE; SOAR-DOC-WEB-PROFILE; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL; SOAR-DOC-API-WALLETS; SOAR-DOC-WEB-WALLETS; SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS,docs/modules/api-profile.md;docs/modules/web-profile.md,missing_proof:Fresh authenticated browser proof and secret-bearing production probe proof remain separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled Profile API Keys chain across profile UI service API routes controller DTO encryption/probe service exchange boundary DB tests docs and Wallets/Bot Runtime consumers.
CHAIN-BOT-SETUP,bot-setup,Bot setup and canonical topology chain,SOAR-FEATURE-BOT-SETUP,verified_local,verified_local,SOAR-PAGE-BOTS-LIST; SOAR-PAGE-BOT-CREATE; SOAR-PAGE-BOT-EDIT; SOAR-PAGE-BOT-PREVIEW,SOAR-PAGE-BOTS-LIST; SOAR-COMP-BOTS-LIST-TABLE; SOAR-PAGE-BOT-CREATE; SOAR-PAGE-BOT-EDIT; SOAR-PAGE-BOT-PREVIEW; SOAR-COMP-BOT-FORM-PAGE-CONTENT; SOAR-COMP-BOT-CREATE-EDIT-FORM,SOAR-API-BOT-LIST; SOAR-API-BOT-GET; SOAR-API-BOT-CREATE; SOAR-API-BOT-UPDATE; SOAR-API-BOT-DELETE; SOAR-API-BOT-RUNTIME-GRAPH; SOAR-API-BOT-MARKET-GROUPS-LIST; SOAR-API-BOT-MARKET-GROUP-CREATE; SOAR-API-BOT-MARKET-GROUP-STRATEGY-ATTACH,SOAR-SERVICE-WEB-BOTS-API; SOAR-CONTROLLER-BOTS; SOAR-SERVICE-BOTS; SOAR-SERVICE-BOT-CONTEXT-VALIDATION; SOAR-SERVICE-BOT-ACTIVATION-POLICY; SOAR-SERVICE-BOT-CANONICAL-UPDATE-SCOPE; SOAR-SERVICE-BOT-MARKET-GROUPS,SOAR-DB-BOT; SOAR-DB-WALLET; SOAR-DB-API-KEY; SOAR-DB-STRATEGY; SOAR-DB-MARKET-UNIVERSE; SOAR-DB-BOT-MARKET-GROUP; SOAR-DB-MARKET-GROUP-STRATEGY-LINK,SOAR-TEST-BOT-SETUP-API; SOAR-TEST-BOT-SETUP-WEB; SOAR-TEST-BOT-RUNTIME-WEB; SOAR-TEST-WEB-MANUAL-ORDER; SOAR-TEST-BOT-RUNTIME-API; SOAR-TEST-WALLETS-API; SOAR-TEST-WALLETS-WEB; SOAR-TEST-WALLET-LEDGER; SOAR-TEST-PROFILE-API-KEYS-API; SOAR-TEST-PROFILE-API-KEYS-WEB; SOAR-TEST-PROFILE-API-KEY-PROBE; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-MANUAL-ORDER,SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS; SOAR-DOC-WEB-ORDERS; SOAR-DOC-API-WALLETS; SOAR-DOC-WEB-WALLETS; SOAR-DOC-API-PROFILE; SOAR-DOC-WEB-PROFILE; SOAR-DOC-DATA-MODEL,docs/modules/api-bots.md;docs/modules/web-bots.md,missing_proof:Fresh authenticated browser proof and LIVE activation proof remain separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled Bot Setup chain across list/create/edit UI Web service lifecycle API routes controller DTO context validation activation policy canonical topology DB tests and docs.
CHAIN-STRATEGIES,strategies,Strategy authoring and indicator catalog chain,SOAR-FEATURE-STRATEGIES,verified_local,verified_local,SOAR-PAGE-STRATEGIES-LIST; SOAR-PAGE-STRATEGY-CREATE; SOAR-PAGE-STRATEGY-EDIT; SOAR-PAGE-STRATEGY-ID-ROOT,SOAR-PAGE-STRATEGIES-LIST; SOAR-COMP-STRATEGIES-LIST; SOAR-PAGE-STRATEGY-CREATE; SOAR-PAGE-STRATEGY-EDIT; SOAR-PAGE-STRATEGY-ID-ROOT; SOAR-COMP-STRATEGY-FORM; SOAR-COMP-STRATEGY-FORM-SECTIONS; SOAR-COMP-STRATEGY-PRESET-PICKER,SOAR-API-STRATEGY-LIST; SOAR-API-STRATEGY-GET; SOAR-API-STRATEGY-CREATE; SOAR-API-STRATEGY-UPDATE; SOAR-API-STRATEGY-DELETE; SOAR-API-STRATEGY-IMPORT; SOAR-API-STRATEGY-EXPORT; SOAR-API-STRATEGY-INDICATORS,SOAR-SERVICE-WEB-STRATEGIES; SOAR-SERVICE-STRATEGY-FORM-MAPPER; SOAR-SERVICE-STRATEGY-PRESETS; SOAR-CONTROLLER-STRATEGIES; SOAR-TYPES-STRATEGIES; SOAR-SERVICE-STRATEGIES; SOAR-SERVICE-STRATEGY-CONFIG-VALIDATION; SOAR-SERVICE-STRATEGY-INDICATORS,SOAR-DB-STRATEGY; SOAR-DB-BOT; SOAR-DB-MARKET-GROUP-STRATEGY-LINK,SOAR-TEST-STRATEGIES-API; SOAR-TEST-STRATEGY-INDICATORS; SOAR-TEST-STRATEGIES-WEB; SOAR-TEST-STRATEGY-FORM-UTILS; SOAR-TEST-BOT-SETUP-API; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-BOT-SETUP-WEB; SOAR-TEST-BOT-RUNTIME-API; SOAR-TEST-BOT-RUNTIME-WEB,SOAR-DOC-API-STRATEGIES; SOAR-DOC-WEB-STRATEGIES; SOAR-DOC-DATA-MODEL; SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS,docs/modules/api-strategies.md;docs/modules/web-strategies.md,missing_proof:Fresh authenticated browser proof and production strategy mutation proof remain separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled Strategies chain across list/create/edit UI Web service form mapping presets indicator catalog API routes controller DTO validation service DB bot/reference guards tests and docs.
CHAIN-MARKETS,markets,Market universe authoring and catalog chain,SOAR-FEATURE-MARKETS,verified_local,verified_local,SOAR-PAGE-MARKETS-LIST; SOAR-PAGE-MARKET-CREATE; SOAR-PAGE-MARKET-EDIT,SOAR-PAGE-MARKETS-LIST; SOAR-COMP-MARKET-UNIVERSES-TABLE; SOAR-PAGE-MARKET-CREATE; SOAR-PAGE-MARKET-EDIT; SOAR-COMP-MARKET-UNIVERSE-FORM; SOAR-COMP-MARKET-SEARCHABLE-MULTISELECT,SOAR-API-MARKET-UNIVERSE-LIST; SOAR-API-MARKET-UNIVERSE-GET; SOAR-API-MARKET-CATALOG; SOAR-API-MARKET-UNIVERSE-CREATE; SOAR-API-MARKET-UNIVERSE-UPDATE; SOAR-API-MARKET-UNIVERSE-DELETE,SOAR-SERVICE-WEB-MARKETS; SOAR-SERVICE-MARKET-UNIVERSE-HELPERS; SOAR-CONTROLLER-MARKETS; SOAR-TYPES-MARKETS; SOAR-SERVICE-MARKETS; SOAR-SERVICE-MARKET-CATALOG-SYMBOL-RESOLVER; SOAR-SERVICE-EXCHANGE-MARKET-CATALOG,SOAR-DB-MARKET-UNIVERSE; SOAR-DB-SYMBOL-GROUP; SOAR-DB-BOT; SOAR-DB-BOT-MARKET-GROUP,SOAR-TEST-MARKETS-API; SOAR-TEST-MARKETS-WEB; SOAR-TEST-EXCHANGE-MARKET-CATALOG; SOAR-TEST-BOT-SETUP-API; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-BOT-SETUP-WEB; SOAR-TEST-BOT-RUNTIME-API; SOAR-TEST-BOT-RUNTIME-WEB,SOAR-DOC-API-MARKETS; SOAR-DOC-WEB-MARKETS; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL; SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS,docs/modules/api-markets.md;docs/modules/web-markets.md,missing_proof:Fresh authenticated browser proof and production market mutation proof remain separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled Markets chain across list/create/edit UI Web service catalog-backed form API routes controller DTO service exchange catalog symbol resolver DB guards tests and docs.
CHAIN-BACKTESTS,backtests,Backtest run lifecycle and replay chain,SOAR-FEATURE-BACKTESTS,verified_local,verified_local,SOAR-PAGE-BACKTESTS-LIST; SOAR-PAGE-BACKTEST-CREATE; SOAR-PAGE-BACKTEST-DETAIL,SOAR-PAGE-BACKTESTS-LIST; SOAR-COMP-BACKTESTS-LIST-VIEW; SOAR-PAGE-BACKTEST-CREATE; SOAR-COMP-BACKTEST-CREATE-FORM; SOAR-PAGE-BACKTEST-DETAIL; SOAR-COMP-BACKTEST-RUN-DETAILS; SOAR-COMP-BACKTEST-DETAIL-PRESENTERS,SOAR-API-BACKTEST-RUN-LIST; SOAR-API-BACKTEST-RUN-GET; SOAR-API-BACKTEST-RUN-TRADES; SOAR-API-BACKTEST-RUN-REPORT; SOAR-API-BACKTEST-RUN-TIMELINE; SOAR-API-BACKTEST-RUN-CREATE; SOAR-API-BACKTEST-RUN-DELETE,SOAR-SERVICE-WEB-BACKTESTS; SOAR-SERVICE-BACKTEST-WEB-VIEWMODEL; SOAR-CONTROLLER-BACKTESTS; SOAR-TYPES-BACKTESTS; SOAR-SERVICE-BACKTESTS; SOAR-SERVICE-BACKTEST-RANGE; SOAR-SERVICE-BACKTEST-RUN-JOB; SOAR-SERVICE-BACKTEST-DATA-GATEWAY; SOAR-SERVICE-BACKTEST-REPLAY-CORE; SOAR-SERVICE-BACKTEST-FILL-MODEL; SOAR-SERVICE-BACKTEST-REPORT-LIFECYCLE; SOAR-SERVICE-BACKTEST-STRATEGY-SNAPSHOTS,SOAR-DB-BACKTEST-RUN; SOAR-DB-BACKTEST-TRADE; SOAR-DB-BACKTEST-REPORT; SOAR-DB-STRATEGY; SOAR-DB-MARKET-UNIVERSE,SOAR-TEST-BACKTESTS-API; SOAR-TEST-BACKTEST-REPLAY; SOAR-TEST-BACKTESTS-WEB; SOAR-TEST-STRATEGIES-API; SOAR-TEST-STRATEGY-INDICATORS; SOAR-TEST-STRATEGIES-WEB; SOAR-TEST-STRATEGY-FORM-UTILS; SOAR-TEST-MARKETS-API; SOAR-TEST-MARKETS-WEB; SOAR-TEST-EXCHANGE-ADAPTER; SOAR-TEST-BOT-SETUP-API; SOAR-TEST-REPORTS-API; SOAR-TEST-REPORTS-WEB,SOAR-DOC-API-BACKTESTS; SOAR-DOC-WEB-BACKTESTS; SOAR-DOC-API-STRATEGIES; SOAR-DOC-WEB-STRATEGIES; SOAR-DOC-API-MARKETS; SOAR-DOC-WEB-MARKETS; SOAR-DOC-EXCHANGE-OWNERSHIP; SOAR-DOC-DATA-MODEL; SOAR-DOC-API-REPORTS; SOAR-DOC-WEB-REPORTS,docs/modules/api-backtests.md;docs/modules/web-backtest.md,missing_proof:Fresh authenticated browser proof and heavy replay performance proof remain separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled Backtests chain across list/create/detail UI Web service API routes controller DTO service range queue job data gateway replay fill report lifecycle DB tests and docs.
CHAIN-REPORTS,reports,Reports performance evidence chain,SOAR-PAGE-REPORTS,verified_local,verified_local,SOAR-PAGE-REPORTS,SOAR-PAGE-REPORTS; SOAR-COMP-PERFORMANCE-REPORTS-VIEW,SOAR-API-REPORTS-CROSS-MODE-PERFORMANCE; SOAR-API-BACKTEST-RUN-LIST; SOAR-API-BACKTEST-RUN-REPORT,SOAR-SERVICE-WEB-REPORTS; SOAR-SERVICE-WEB-BACKTESTS; SOAR-CONTROLLER-REPORTS; SOAR-SERVICE-REPORTS; SOAR-SERVICE-REPORT-MODE-AGGREGATOR,SOAR-DB-BACKTEST-REPORT; SOAR-DB-BACKTEST-TRADE; SOAR-DB-TRADE; SOAR-DB-BOT,SOAR-TEST-REPORTS-API; SOAR-TEST-REPORTS-WEB; SOAR-TEST-BACKTESTS-WEB; SOAR-TEST-BACKTESTS-API; SOAR-TEST-BACKTEST-REPLAY; SOAR-TEST-MANUAL-ORDER; SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-API-REPORTS; SOAR-DOC-WEB-REPORTS; SOAR-DOC-WEB-BACKTESTS; SOAR-DOC-API-BACKTESTS; SOAR-DOC-DATA-MODEL,docs/modules/api-reports.md;docs/modules/web-reports.md,missing_proof:Fresh authenticated browser proof and production report readback remain separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled Reports chain across dashboard route view Web services cross-mode API controller service aggregation DB read models tests and docs.
CHAIN-LOGS-AUDIT,logs-audit,Logs Audit Trail evidence chain,SOAR-PAGE-LOGS,verified_local,verified_local,SOAR-PAGE-LOGS,SOAR-PAGE-LOGS; SOAR-COMP-AUDIT-TRAIL-VIEW,SOAR-API-LOGS-LIST,SOAR-SERVICE-WEB-LOGS; SOAR-CONTROLLER-LOGS; SOAR-TYPES-LOGS; SOAR-SERVICE-LOGS,SOAR-DB-LOG,SOAR-TEST-LOGS-API; SOAR-TEST-LOGS-WEB; SOAR-TEST-PROFILE-API-KEYS-API; SOAR-TEST-PROFILE-API-KEYS-WEB; SOAR-TEST-PROFILE-API-KEY-PROBE; SOAR-TEST-BOT-SETUP-API; SOAR-TEST-BOT-SETUP-WEB,SOAR-DOC-API-LOGS; SOAR-DOC-WEB-LOGS; SOAR-DOC-API-PROFILE; SOAR-DOC-WEB-PROFILE; SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS; SOAR-DOC-DATA-MODEL,docs/modules/api-logs.md;docs/modules/web-logs.md,missing_proof:Fresh authenticated browser proof and production action-produced readback remain separate; production_or_browser_proof_not_implied,high,high,2026-05-24,Backfilled Logs/Audit Trail chain across route view Web service API route controller query schema service Log DB model tests and docs.
CHAIN-SUBSCRIPTIONS-ADMIN,subscriptions-admin,Subscriptions Admin entitlement and management chain,SOAR-PAGE-ADMIN-SUBSCRIPTIONS,verified_local,verified_local,SOAR-PAGE-ADMIN-ROOT; SOAR-PAGE-ADMIN-SUBSCRIPTIONS; SOAR-PAGE-ADMIN-USERS,SOAR-PAGE-ADMIN-ROOT; SOAR-COMP-ADMIN-LAYOUT-SHELL; SOAR-PAGE-ADMIN-SUBSCRIPTIONS; SOAR-COMP-ADMIN-SUBSCRIPTIONS-PAGE; SOAR-PAGE-ADMIN-USERS; SOAR-COMP-ADMIN-USERS-PAGE; SOAR-COMP-PROFILE-SUBSCRIPTION,SOAR-API-ADMIN-SUBSCRIPTION-PLANS-LIST; SOAR-API-ADMIN-SUBSCRIPTION-PLAN-UPDATE; SOAR-API-ADMIN-USERS-LIST; SOAR-API-ADMIN-USERS-UPDATE; SOAR-API-PROFILE-SUBSCRIPTION-GET; SOAR-API-PROFILE-SUBSCRIPTION-CHECKOUT,SOAR-SERVICE-WEB-ADMIN-SUBSCRIPTIONS; SOAR-CONTROLLER-ADMIN-SUBSCRIPTION-PLANS; SOAR-TYPES-ADMIN-SUBSCRIPTION-PLANS; SOAR-SERVICE-ADMIN-SUBSCRIPTION-PLANS; SOAR-SERVICE-WEB-ADMIN-USERS; SOAR-CONTROLLER-ADMIN-USERS; SOAR-TYPES-ADMIN-USERS; SOAR-SERVICE-ADMIN-USERS; SOAR-SERVICE-WEB-PROFILE-SUBSCRIPTION; SOAR-CONTROLLER-PROFILE-SUBSCRIPTION; SOAR-SERVICE-PROFILE-SUBSCRIPTION; SOAR-SERVICE-SUBSCRIPTIONS; SOAR-SERVICE-SUBSCRIPTION-ENTITLEMENTS; SOAR-SERVICE-PAYMENT-CHECKOUT,SOAR-DB-SUBSCRIPTION-PLAN; SOAR-DB-USER-SUBSCRIPTION; SOAR-DB-PAYMENT-INTENT; SOAR-DB-USER,SOAR-TEST-SUBSCRIPTIONS-ADMIN-API; SOAR-TEST-SUBSCRIPTIONS-ENTITLEMENTS; SOAR-TEST-SUBSCRIPTIONS-ADMIN-WEB; SOAR-TEST-AUTH-SESSION; SOAR-TEST-BOT-SETUP-API; SOAR-TEST-BOT-SETUP-WEB,SOAR-DOC-API-ADMIN; SOAR-DOC-API-SUBSCRIPTIONS; SOAR-DOC-WEB-ADMIN; SOAR-DOC-DATA-MODEL; SOAR-DOC-API-BOTS; SOAR-DOC-WEB-BOTS,docs/modules/api-admin.md;docs/modules/api-subscriptions.md;docs/modules/web-admin.md,missing_proof:Fresh authenticated browser proof checkout provider callback proof and production admin mutation proof remain separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled Subscriptions/Admin chain across admin/profile UI Web services API routes controllers schemas services entitlements checkout DB tests and docs.
CHAIN-AI-ASSISTANT-FOUNDATION,ai-assistant-foundation,AI Assistant foundation chain,SOAR-PAGE-BOT-ASSISTANT,verified_local,verified_local,SOAR-PAGE-BOT-ASSISTANT,SOAR-PAGE-BOT-ASSISTANT; SOAR-COMP-BOTS-MANAGEMENT; SOAR-COMP-BOTS-ASSISTANT-TAB; SOAR-HOOK-BOTS-ASSISTANT-CONTROLLER,SOAR-API-BOT-ASSISTANT-CONFIG-GET; SOAR-API-BOT-ASSISTANT-CONFIG-UPSERT; SOAR-API-BOT-SUBAGENT-UPSERT; SOAR-API-BOT-SUBAGENT-DELETE; SOAR-API-BOT-ASSISTANT-DRY-RUN,SOAR-HOOK-BOTS-ASSISTANT-CONTROLLER; SOAR-SERVICE-WEB-BOTS-API; SOAR-CONTROLLER-BOTS; SOAR-SERVICE-BOT-ASSISTANT; SOAR-SERVICE-ASSISTANT-ORCHESTRATOR,SOAR-DB-BOT-ASSISTANT-CONFIG; SOAR-DB-BOT-SUBAGENT-CONFIG; SOAR-DB-BOT,SOAR-TEST-AI-ASSISTANT-API; SOAR-TEST-AI-ASSISTANT-ORCHESTRATOR; SOAR-TEST-AI-ASSISTANT-WEB; SOAR-TEST-AI-PROTOCOL-HARNESS; SOAR-TEST-BOT-RUNTIME-WEB; SOAR-TEST-WEB-MANUAL-ORDER; SOAR-TEST-BOT-RUNTIME-API; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-DOC-ASSISTANT-RUNTIME,SOAR-DOC-ASSISTANT-RUNTIME; SOAR-DOC-ASSISTANT-RUNTIME-CONTRACT; SOAR-DOC-AI-TESTING-PROTOCOL; SOAR-DOC-AI-INTEGRATION; SOAR-DOC-WEB-BOTS; SOAR-DOC-WEB-ORDERS; SOAR-DOC-API-BOTS; SOAR-DOC-DATA-MODEL; SOAR-AGENT-AI-RED-TEAM,history/tasks/ai-assistant-foundation-protocol-harness-2026-05-23-task.md,missing_proof:Hot-path runtime AI trading remains deferred and requires separate red-team proof; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled AI Assistant foundation chain across assistant UI Web service API routes controller DTO service orchestrator DB tests docs and red-team protocol.
CHAIN-OPS-CONFIG-PIPELINE,ops-config-pipeline,Operations config and pipeline chain,SOAR-CONFIG-ROOT-PACKAGE,verified_local,verified_local,,,,,,SOAR-TEST-GUARDRAILS; SOAR-DOC-LOCAL-DEVELOPMENT; SOAR-DOC-COOLIFY-VPS; SOAR-DOC-TESTING,SOAR-DOC-LOCAL-DEVELOPMENT; SOAR-DOC-TESTING; SOAR-DOC-COOLIFY-VPS; SOAR-AGENT-COORDINATOR,history/tasks/architecture-graph-ops-config-pipeline-backfill-2026-05-24-task.md,missing_proof:Remote CI run status and protected production deployment proof remain separate; production_or_browser_proof_not_implied,high,high,2026-05-24,Backfilled operations config and pipeline chain across package manifests workspace compose topology CI workflow guardrails and docs.
CHAIN-API-SUPPORT-ROUTES,api-support-routes,API support routes chain,SOAR-ROUTER-API-ROOT,verified_local,verified_local,,,SOAR-API-ICON-LOOKUP; SOAR-API-MARKET-STREAM-EVENTS; SOAR-API-PROFILE-BASIC-GET; SOAR-API-PROFILE-BASIC-UPDATE; SOAR-API-PROFILE-BASIC-DELETE; SOAR-API-PROFILE-SECURITY-PASSWORD; SOAR-API-PROFILE-SECURITY-ACCOUNT; SOAR-API-UPLOAD-AVATAR,SOAR-CONTROLLER-ICONS; SOAR-TYPES-ICONS; SOAR-SERVICE-ICONS; SOAR-SERVICE-MARKET-STREAM-FANOUT; SOAR-SERVICE-MARKET-STREAM; SOAR-CONTROLLER-PROFILE-BASIC; SOAR-TYPES-PROFILE-BASIC; SOAR-SERVICE-PROFILE-BASIC; SOAR-CONTROLLER-PROFILE-SECURITY; SOAR-TYPES-PROFILE-SECURITY; SOAR-SERVICE-PROFILE-SECURITY; SOAR-SERVICE-UPLOAD-AVATAR-PROCESSING,SOAR-DB-USER,SOAR-TEST-API-SUPPORT-ROUTES; SOAR-TEST-ICONS-API; SOAR-TEST-MARKET-STREAM-API; SOAR-TEST-PROFILE-BASIC-API; SOAR-TEST-PROFILE-SECURITY-API; SOAR-TEST-UPLOAD-API; SOAR-TEST-SUBSCRIPTIONS-ADMIN-API; SOAR-TEST-AUTH-SESSION; SOAR-TEST-PROFILE-API-KEYS-API; SOAR-TEST-PROFILE-API-KEY-PROBE,SOAR-DOC-API-ROOT; SOAR-DOC-API-PROFILE; SOAR-DOC-API-ICONS; SOAR-DOC-API-MARKET-STREAM; SOAR-DOC-API-UPLOAD; SOAR-DOC-API-ADMIN; SOAR-DOC-DATA-MODEL; SOAR-DOC-API-SUBSCRIPTIONS,history/tasks/architecture-graph-api-support-routes-backfill-2026-05-24-task.md,missing_proof:Fresh authenticated browser proof for profile/upload UI consumers remains separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled API support routes across root/dashboard/admin routers icons market stream profile basic/security upload services tests and docs.
CHAIN-RUNTIME-SUPPORT-SERVICES,runtime-support-services,Runtime support services chain,SOAR-SERVICE-BOTS-RUNTIME-READ,verified_local,verified_local,,,,SOAR-SERVICE-BOT-API-KEY-RESOLVER; SOAR-SERVICE-BOT-LIVE-CONSENT; SOAR-SERVICE-BOT-OWNERSHIP; SOAR-SERVICE-BOT-PORTFOLIO-HISTORY-READ; SOAR-SERVICE-BOT-READ-PROJECTION; SOAR-SERVICE-BOT-RESPONSE-MAPPER; SOAR-SERVICE-BOTS-RUNTIME-READ; SOAR-SERVICE-BOT-STRATEGY-PROJECTION-DRIFT; SOAR-SERVICE-BOT-WRITE-VALIDATION; SOAR-SERVICE-RUNTIME-DCA-PROTECTION-DISPLAY; SOAR-SERVICE-RUNTIME-EXTERNAL-POSITION-OWNER; SOAR-SERVICE-RUNTIME-MARKET-DATA-FALLBACK; SOAR-SERVICE-RUNTIME-MARKET-TRUTH-STATE; SOAR-SERVICE-RUNTIME-SIGNAL-CONDITION-LINES; SOAR-SERVICE-RUNTIME-SIGNAL-CONDITION-SUMMARY; SOAR-SERVICE-RUNTIME-SIGNAL-INDICATORS; SOAR-SERVICE-RUNTIME-SIGNAL-STATS-FORMATTING; SOAR-SERVICE-RUNTIME-STRATEGY-CONFIG-PARSER; SOAR-SERVICE-RUNTIME-STRATEGY-DISPLAY-BY-SYMBOL; SOAR-SERVICE-RUNTIME-SYMBOL-CATALOG-RESOLVER; SOAR-SERVICE-RUNTIME-SYMBOL-UNIVERSE; SOAR-SERVICE-RUNTIME-TRADE-ACTION-REASON; SOAR-SERVICE-RUNTIME-TRADE-LIFECYCLE; SOAR-SERVICE-ENGINE-ORDER-TYPES; SOAR-SERVICE-PAPER-LIFECYCLE; SOAR-SERVICE-PAPER-RUNTIME; SOAR-SERVICE-POSITION-MANAGEMENT; SOAR-SERVICE-PRETRADE-RISK; SOAR-SERVICE-RULE-EVALUATOR; SOAR-SERVICE-RUNTIME-CAPITAL-CONTEXT,SOAR-DB-BOT; SOAR-DB-POSITION; SOAR-DB-ORDER; SOAR-DB-TRADE,SOAR-TEST-RUNTIME-SUPPORT-SERVICES; SOAR-TEST-BOT-OWNERSHIP; SOAR-TEST-BOT-PORTFOLIO-HISTORY; SOAR-TEST-BOT-STRATEGY-PROJECTION-DRIFT; SOAR-TEST-RUNTIME-EXTERNAL-POSITION-OWNER; SOAR-TEST-RUNTIME-STRATEGY-CONTEXT; SOAR-TEST-PAPER-RUNTIME; SOAR-TEST-DASHBOARD-RUNTIME; SOAR-TEST-RUNTIME-DCA-PNL; SOAR-TEST-MANUAL-ORDER,SOAR-DOC-API-BOTS; SOAR-DOC-EXECUTION-LIFECYCLE; SOAR-DOC-DATA-MODEL,history/tasks/architecture-graph-runtime-support-services-backfill-2026-05-24-task.md,missing_proof:Fresh end-to-end runtime journey and protected LIVE proof remain separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled bot/runtime/engine support service drift across ownership projections market truth signal display paper runtime pre-trade risk rule evaluation tests and docs.
CHAIN-API-PLATFORM-SAFETY,api-platform-safety,API platform safety chain,SOAR-CONFIG-RUNTIME-EXECUTION,verified_local,verified_local,,,,SOAR-LIB-ENV; SOAR-LIB-ERRORS; SOAR-LIB-HTTP-ERROR-MAPPER; SOAR-LIB-LOGGER; SOAR-LIB-SYMBOLS,,SOAR-TEST-API-PLATFORM-SAFETY; SOAR-TEST-API-CONFIG-SAFETY; SOAR-TEST-API-MIDDLEWARE-SAFETY; SOAR-TEST-API-LIB-SAFETY; SOAR-DOC-LOCAL-DEVELOPMENT; SOAR-DOC-API-ROOT; SOAR-TEST-API-SUPPORT-ROUTES; SOAR-DOC-TESTING,SOAR-DOC-API-ROOT; SOAR-DOC-LOCAL-DEVELOPMENT; SOAR-DOC-TESTING; SOAR-DOC-API-AUTH; SOAR-DOC-API-ADMIN,history/tasks/architecture-graph-api-platform-safety-backfill-2026-05-24-task.md,missing_proof:Fresh adversarial security review remains separate; production_or_browser_proof_not_implied,high,critical,2026-05-24,Backfilled API platform safety chain across config readiness proxy/runtime execution middleware guards shared errors logging symbols tests and docs.
