id,route_or_file,feature,module,status,verification_status,user_entry_description,ui_nodes,api_routes,tests,docs,chains,gaps,gap_severity,risk_level,last_verified_at
SOAR-PAGE-MARKETS-LIST,apps/web/src/app/dashboard/markets/list/page.tsx,markets,web-markets,verified_local,verified_local,Canonical market universe list route with universe table and delete navigation actions.,SOAR-COMP-MARKET-UNIVERSES-TABLE,SOAR-API-MARKET-UNIVERSE-LIST; SOAR-API-MARKET-UNIVERSE-DELETE,SOAR-TEST-MARKETS-WEB,SOAR-DOC-WEB-MARKETS,CHAIN-MARKETS,,none,high,2026-05-24
SOAR-PAGE-MARKET-CREATE,apps/web/src/app/dashboard/markets/create/page.tsx,markets,web-markets,verified_local,verified_local,Market universe create route using the shared form and catalog-backed symbol options.,SOAR-COMP-MARKET-UNIVERSE-FORM,SOAR-API-MARKET-CATALOG; SOAR-API-MARKET-UNIVERSE-CREATE,SOAR-TEST-MARKETS-WEB,SOAR-DOC-WEB-MARKETS,CHAIN-MARKETS,,none,critical,2026-05-24
SOAR-PAGE-MARKET-EDIT,apps/web/src/app/dashboard/markets/[id]/edit/page.tsx,markets,web-markets,verified_local,verified_local,Market universe edit route with existing universe load update and active-bot conflict feedback.,SOAR-COMP-MARKET-UNIVERSE-FORM,SOAR-API-MARKET-UNIVERSE-GET; SOAR-API-MARKET-CATALOG; SOAR-API-MARKET-UNIVERSE-UPDATE,SOAR-TEST-MARKETS-WEB,SOAR-DOC-WEB-MARKETS,CHAIN-MARKETS,,none,critical,2026-05-24
SOAR-PAGE-BACKTESTS-LIST,apps/web/src/app/dashboard/backtests/list/page.tsx,backtests,web-backtest,verified_local,verified_local,Canonical backtest runs list route.,SOAR-COMP-BACKTESTS-LIST-VIEW,SOAR-API-BACKTEST-RUN-LIST; SOAR-API-BACKTEST-RUN-DELETE,SOAR-TEST-BACKTESTS-WEB,SOAR-DOC-WEB-BACKTESTS,CHAIN-BACKTESTS,,none,high,2026-05-24
SOAR-PAGE-BACKTEST-CREATE,apps/web/src/app/dashboard/backtests/create/page.tsx,backtests,web-backtest,verified_local,verified_local,Backtest create route with strategy market universe range and candle-window configuration.,SOAR-COMP-BACKTEST-CREATE-FORM,SOAR-API-BACKTEST-RUN-CREATE,SOAR-TEST-BACKTESTS-WEB,SOAR-DOC-WEB-BACKTESTS,CHAIN-BACKTESTS,,none,critical,2026-05-24
SOAR-PAGE-BACKTEST-DETAIL,apps/web/src/app/dashboard/backtests/[id]/page.tsx,backtests,web-backtest,verified_local,verified_local,Backtest run detail route with summary trades raw timeline report and market views.,SOAR-COMP-BACKTEST-RUN-DETAILS,SOAR-API-BACKTEST-RUN-GET; SOAR-API-BACKTEST-RUN-TRADES; SOAR-API-BACKTEST-RUN-REPORT; SOAR-API-BACKTEST-RUN-TIMELINE,SOAR-TEST-BACKTESTS-WEB,SOAR-DOC-WEB-BACKTESTS,CHAIN-BACKTESTS,,none,critical,2026-05-24
SOAR-PAGE-REPORTS,apps/web/src/app/dashboard/reports/page.tsx,reports,web-reports,verified_local,verified_local,Authenticated reports dashboard route shell for performance reporting.,SOAR-COMP-PERFORMANCE-REPORTS-VIEW,SOAR-API-REPORTS-CROSS-MODE-PERFORMANCE; SOAR-API-BACKTEST-RUN-LIST; SOAR-API-BACKTEST-RUN-REPORT,SOAR-TEST-REPORTS-WEB,SOAR-DOC-WEB-REPORTS,CHAIN-REPORTS,,none,high,2026-05-24
SOAR-PAGE-LOGS,apps/web/src/app/dashboard/logs/page.tsx,logs-audit,web-logs,verified_local,verified_local,Authenticated dashboard logs route shell.,SOAR-COMP-AUDIT-TRAIL-VIEW,SOAR-API-LOGS-LIST,SOAR-TEST-LOGS-WEB,SOAR-DOC-WEB-LOGS,CHAIN-LOGS-AUDIT,,none,high,2026-05-24
SOAR-PAGE-ADMIN-ROOT,apps/web/src/app/admin/page.tsx,subscriptions-admin,web-admin,verified_local,verified_local,Admin root route redirecting to subscription plan management.,SOAR-COMP-ADMIN-LAYOUT-SHELL,SOAR-API-ADMIN-SUBSCRIPTION-PLANS-LIST,SOAR-TEST-SUBSCRIPTIONS-ADMIN-WEB,SOAR-DOC-WEB-ADMIN,CHAIN-SUBSCRIPTIONS-ADMIN,,none,medium,2026-05-24
SOAR-PAGE-ADMIN-SUBSCRIPTIONS,apps/web/src/app/admin/subscriptions/page.tsx,subscriptions-admin,web-admin,verified_local,verified_local,Admin subscription plan management route.,SOAR-COMP-ADMIN-SUBSCRIPTIONS-PAGE,SOAR-API-ADMIN-SUBSCRIPTION-PLANS-LIST; SOAR-API-ADMIN-SUBSCRIPTION-PLAN-UPDATE,SOAR-TEST-SUBSCRIPTIONS-ADMIN-WEB,SOAR-DOC-WEB-ADMIN,CHAIN-SUBSCRIPTIONS-ADMIN,,none,critical,2026-05-24
SOAR-PAGE-ADMIN-USERS,apps/web/src/app/admin/users/page.tsx,subscriptions-admin,web-admin,verified_local,verified_local,Admin user role and plan assignment route.,SOAR-COMP-ADMIN-USERS-PAGE,SOAR-API-ADMIN-USERS-LIST; SOAR-API-ADMIN-USERS-UPDATE,SOAR-TEST-SUBSCRIPTIONS-ADMIN-WEB,SOAR-DOC-WEB-ADMIN,CHAIN-SUBSCRIPTIONS-ADMIN,,none,critical,2026-05-24
SOAR-PAGE-BOT-ASSISTANT,apps/web/src/app/dashboard/bots/[id]/assistant/page.tsx,ai-assistant-foundation,web-bots,verified_local,verified_local,Canonical selected-bot assistant configuration route.,SOAR-COMP-BOTS-ASSISTANT-TAB,SOAR-API-BOT-ASSISTANT-CONFIG-GET; SOAR-API-BOT-ASSISTANT-DRY-RUN,SOAR-TEST-AI-ASSISTANT-WEB,SOAR-DOC-WEB-BOTS,CHAIN-AI-ASSISTANT-FOUNDATION,,none,high,2026-05-24
SOAR-PAGE-REGISTER,apps/web/src/app/(public)/auth/register/page.tsx,auth-session,web-auth,verified_local,verified_local,Public register route and form entrypoint.,SOAR-COMP-REGISTER-FORM,SOAR-API-AUTH-REGISTER,SOAR-TEST-WEB-AUTH-FORMS,SOAR-DOC-WEB-AUTH,CHAIN-AUTH-SESSION-DEEP,,none,high,2026-05-24
SOAR-PAGE-PUBLIC-HOME,apps/web/src/app/(public)/page.tsx,auth-session,web-public,verified_local,verified_local,Public landing page that links unauthenticated users toward auth entrypoints.,SOAR-PAGE-LOGIN; SOAR-PAGE-REGISTER,,SOAR-TEST-WEB-AUTH-PUBLIC,SOAR-DOC-WEB-AUTH,CHAIN-AUTH-SESSION-DEEP,,none,medium,2026-05-24
SOAR-PAGE-BOT-NEW-ALIAS,apps/web/src/app/dashboard/bots/new/page.tsx,bot-setup,web-bots,verified_local,verified_local,Bot new alias route for bot creation flow compatibility.,SOAR-COMP-BOT-CREATE-EDIT-FORM,SOAR-API-BOT-CREATE; SOAR-API-WALLET-LIST,SOAR-TEST-WEB-RESIDUAL-SURFACES,SOAR-DOC-WEB-BOTS,,not_in_function_chain,medium,high,2026-05-24
SOAR-PAGE-BOT-DETAIL-ALIAS,apps/web/src/app/dashboard/bots/[id]/page.tsx,bot-setup,web-bots,verified_local,verified_local,Bot detail alias route bridging bot setup preview and runtime entrypoints.,SOAR-COMP-BOTS-MANAGEMENT,SOAR-API-BOT-GET; SOAR-API-BOT-RUNTIME-AGGREGATE,SOAR-TEST-WEB-RESIDUAL-SURFACES,SOAR-DOC-WEB-BOTS,,not_in_function_chain,medium,high,2026-05-24
SOAR-PAGE-OFFLINE,apps/web/src/app/offline/page.tsx,web-residual-surfaces,web-shell,verified_local,verified_local,Offline route for app shell connectivity fallback.,,,SOAR-TEST-WEB-RESIDUAL-SURFACES,SOAR-DOC-WEB-SHARED,,not_in_function_chain,medium,medium,2026-05-24
