Capability ID,Capability,Feature IDs,Chain IDs,Modules,Primary code paths,Tests,Evidence,Status,Risk,Owner,Last updated,Notes
CAP-017,Subscriptions Admin entitlement and management chain,subscriptions-admin,CHAIN-SUBSCRIPTIONS-ADMIN,web-admin; api-admin; subscriptions; payments,apps/web/src/app/admin; apps/web/src/features/admin; apps/api/src/modules/admin; apps/api/src/modules/subscriptions,SOAR-TEST-SUBSCRIPTIONS-ADMIN-API; SOAR-TEST-SUBSCRIPTIONS-ENTITLEMENTS; SOAR-TEST-SUBSCRIPTIONS-ADMIN-WEB,docs/modules/api-admin.md; docs/modules/api-subscriptions.md; docs/modules/web-admin.md,verified_local,critical,Documentation Steward / Admin Subscriptions lane,2026-07-02,Checkout provider callback proof and production admin mutation proof remain separate.
CAP-018,AI Assistant foundation chain,ai-assistant-foundation,CHAIN-AI-ASSISTANT-FOUNDATION,web-bots; api-bots; assistant runtime,apps/web/src/app/dashboard/bots/[id]/assistant; apps/web/src/features/bots; apps/api/src/modules/bots; apps/api/src/modules/engine,SOAR-TEST-AI-ASSISTANT-API; SOAR-TEST-AI-ASSISTANT-ORCHESTRATOR; SOAR-TEST-AI-ASSISTANT-WEB; SOAR-TEST-AI-PROTOCOL-HARNESS,history/tasks/ai-assistant-foundation-protocol-harness-2026-05-23-task.md; docs/architecture/reference/assistant-runtime-contract.md,verified_local,critical,Documentation Steward / AI Runtime lane,2026-07-02,Hot-path runtime AI trading remains deferred and requires separate red-team proof.
CAP-019,Operations config and pipeline chain,ops-config-pipeline,CHAIN-OPS-CONFIG-PIPELINE,ops; deployment; guardrails,package.json; scripts; docs/operations; history/releases,SOAR-TEST-GUARDRAILS; SOAR-DOC-LOCAL-DEVELOPMENT; SOAR-DOC-COOLIFY-VPS; SOAR-DOC-TESTING,history/tasks/coolify-service-stack-migration-2026-05-25-task.md,verified_local,high,Documentation Steward / Ops lane,2026-07-02,Production Coolify stack deployment and protected proof remain separate.
CAP-020,API support routes chain,api-support-routes,CHAIN-API-SUPPORT-ROUTES,api-root; profile; upload; icons; market-stream,apps/api/src/router; apps/api/src/modules/profile; apps/api/src/modules/upload; apps/api/src/modules/icons; apps/api/src/modules/market-stream,SOAR-TEST-API-SUPPORT-ROUTES; SOAR-TEST-ICONS-API; SOAR-TEST-MARKET-STREAM-API; SOAR-TEST-PROFILE-BASIC-API; SOAR-TEST-UPLOAD-API,history/tasks/architecture-graph-api-support-routes-backfill-2026-05-24-task.md,verified_local,critical,Documentation Steward / API Platform lane,2026-07-02,Fresh authenticated browser proof for profile/upload UI consumers remains separate.
CAP-021,Runtime support services chain,runtime-support-services,CHAIN-RUNTIME-SUPPORT-SERVICES,api-bots; api-engine; runtime services,apps/api/src/modules/bots; apps/api/src/modules/engine,SOAR-TEST-RUNTIME-SUPPORT-SERVICES; SOAR-TEST-BOT-OWNERSHIP; SOAR-TEST-PAPER-RUNTIME; SOAR-TEST-DASHBOARD-RUNTIME,history/tasks/architecture-graph-runtime-support-services-backfill-2026-05-24-task.md,verified_local,critical,Documentation Steward / Runtime Services lane,2026-07-02,Fresh end-to-end runtime journey and protected LIVE proof remain separate.
CAP-022,API platform safety chain,api-platform-safety,CHAIN-API-PLATFORM-SAFETY,api-platform; security; middleware,apps/api/src/lib; apps/api/src/middleware; apps/api/src/config,SOAR-TEST-API-PLATFORM-SAFETY; SOAR-TEST-API-CONFIG-SAFETY; SOAR-TEST-API-MIDDLEWARE-SAFETY; SOAR-TEST-API-LIB-SAFETY,history/tasks/architecture-graph-api-platform-safety-backfill-2026-05-24-task.md; history/evidence/luc-2231-api-platform-safety-adversarial-review-2026-06-05.md,verified_local,critical,Documentation Steward / Security lane,2026-07-02,Production/browser proof remains separate.
CAP-023,Web runtime surfaces chain,web-runtime-surfaces,CHAIN-WEB-RUNTIME-SURFACES,web-dashboard-home; web-bots; runtime UI,apps/web/src/features/dashboard-home; apps/web/src/features/bots; apps/web/src/app/dashboard,SOAR-TEST-WEB-RUNTIME-SURFACES; SOAR-TEST-DASHBOARD-RUNTIME-HELPERS; SOAR-TEST-BOTS-PORTFOLIO-HISTORY-WEB; SOAR-TEST-BOT-RUNTIME-WEB,history/tasks/architecture-graph-web-runtime-surfaces-backfill-2026-05-24-task.md,verified_local,critical,Documentation Steward / Frontend Runtime lane,2026-07-02,Fresh authenticated browser runtime journey remains separate.
CAP-024,Auth session deep chain,auth-session,CHAIN-AUTH-SESSION-DEEP,web-auth; api-auth; public shell,apps/web/src/app/(public); apps/web/src/features/auth; apps/web/src/context/AuthContext.tsx; apps/api/src/modules/auth,SOAR-TEST-WEB-AUTH-FORMS; SOAR-TEST-WEB-AUTH-HOOKS; SOAR-TEST-WEB-AUTH-CONTEXT; SOAR-TEST-API-AUTH-SESSION-DEEP,history/tasks/architecture-graph-auth-session-deep-backfill-2026-05-24-task.md,verified_local,critical,Documentation Steward / Auth lane,2026-07-02,Fresh production auth browser proof remains separate.
CAP-025,Engine runtime core chain,engine-runtime-core,CHAIN-ENGINE-RUNTIME-CORE,api-engine; runtime; paper trading,apps/api/src/modules/engine; apps/api/src/modules/bots,SOAR-TEST-ENGINE-RUNTIME-CORE; SOAR-TEST-PAPER-RUNTIME; SOAR-TEST-RUNTIME-SUPPORT-SERVICES; SOAR-TEST-RUNTIME-DCA-PNL,history/tasks/architecture-graph-engine-runtime-core-backfill-2026-05-24-task.md,verified_local,critical,Documentation Steward / Engine lane,2026-07-02,Fresh end-to-end runtime journey and protected LIVE exchange mutation proof remain separate.
CAP-026,Market data and stream adapters chain,market-data-stream-adapters,CHAIN-MARKET-DATA-STREAM-ADAPTERS,market-data; market-stream; exchange,apps/api/src/modules/market-data; apps/api/src/modules/market-stream; apps/api/src/modules/exchange; apps/workers,SOAR-TEST-MARKET-DATA-STREAM-ADAPTERS; SOAR-TEST-EXCHANGE-CONNECTOR-FACTORY; SOAR-TEST-MARKET-STREAM-API; SOAR-TEST-ENGINE-RUNTIME-CORE,history/tasks/architecture-graph-market-data-stream-adapters-backfill-2026-05-24-task.md,verified_local,critical,Documentation Steward / Data Integration lane,2026-07-02,Fresh live exchange stream proof remains separate.
CAP-027,App completion proof backlog,app-completion,docs/status/app-completion-index.md,all product workflows,docs/status/app-completion-index.md; docs/graphs/architecture-awareness.json,architecture-awareness generated checks,docs/status/app-completion-index.md; docs/status/app-completion-index.json,partially_verified,high,Documentation Steward / Delivery Project Manager,2026-07-02,Generated 2026-07-01 index tracks 2303 items across 8 flows with browser-review test-link doc-link and blocked rows.
