ID,Module,Submodule,Mode,Layer,Capability,Scenario / child function,Expected behavior,Local status,Local evidence,Production status,Production evidence,Confidence,Risk,Priority,Owner,Next verification,Last verified,Notes
STRAT-BASIC-TP-001,strategies,close rules,BASIC,API + engine,Take profit,Basic TP threshold,Configured TP participates in runtime/backtest position management through canonical strategy config.,COVERED_LOCAL,Strategy validation/runtime position-management test families; v1 architecture coverage docs,NEEDS_PROD_SAMPLE,No current production TP close sample linked in final evidence,Medium,Strategy close correctness,P0,Backend + QA,Add one prod/manual-paper evidence row for Basic TP close.,2026-05-01,Needs explicit evidence row rather than inferred coverage.
STRAT-BASIC-SL-001,strategies,close rules,BASIC,API + engine,Stop loss,Basic SL threshold,Configured SL participates in runtime/backtest position management with no DCA bypass.,COVERED_LOCAL,positionManagement.service.test.ts; strategy validation tests,NEEDS_PROD_SAMPLE,No current production Basic SL close sample linked in final evidence,Medium,Real-money close correctness,P0,Backend + QA,Add prod/manual-paper evidence row for Basic SL close.,2026-05-01,DCA-first authority is covered locally for SL/TSL edge cases.
STRAT-ADV-TSL-001,strategies,advanced close rules,ADVANCED,Web + API + engine + backtest,Trailing stop loss,Negative start plus positive step semantics,Advanced TSL accepts loss-side start such as -20% with positive trailing step and aligns LIVE/PAPER/BACKTEST parsing.,PASS,V1SAFE-14 focused web/API/runtime/backtest tests,PARTIAL,Production strategy edit issue was fixed; fresh post-fix close sample not captured,High,Real-money premature/incorrect close,P0,Frontend + Backend + QA,Capture next production TSL arm/close event and dashboard display.,2026-04-30,This area caused the reported DOGE concern and needs event-level evidence.
STRAT-ADV-TTP-001,strategies,advanced close rules,ADVANCED,API + web,Trailing take profit display,Imported managed LIVE fallback TTP,Dashboard keeps valid fallback TTP visible when stale runtime state drifts below armed threshold.,PASS,V1SAFE-19 runtime serialization and dynamic-stop operator-truth tests,PASS,Protected XRPUSDT production inspection in V1SAFE-19 context,High,Operator protection visibility,P0,Backend + Frontend,Keep in dynamic-stop operator truth regression pack.,2026-04-30,"API, not table, was the earlier drift source."
STRAT-ADV-TTP-002,strategies,advanced close rules,ADVANCED,API,Trailing take profit monotonic display,Pullback after TTP arm,Fallback TTP display derives from canonical trailing anchor and does not drop during pullback.,PASS,V1SAFE-15 runtime serialization tests,NEEDS_PROD_SAMPLE,No fresh production pullback sample linked after fix,Medium,Operator protection visibility,P1,Backend + QA,Capture production TTP pullback display if observed.,2026-04-30,Local regression protects the fallback calculation.
STRAT-EDIT-LOCK-001,strategies,edit safety,LIVE / PAPER,API + web,Active bot lock,Editing strategy linked to active bot,Strategy edit/delete remains blocked while linked bot isActive=true and UI points to bot settings to deactivate.,PASS,V1SAFE-16 strategies.e2e + web typecheck/i18n audit,PASS,Production operator confusion reproduced and fixed in V1SAFE-16,High,Unsafe config mutation,P0,Frontend + Backend,Keep active-bot strategy lock e2e.,2026-04-30,Runtime stop is intentionally not enough; bot Active must be off.
WALLET-LIVE-LEDGER-001,wallets,cashflow ledger,LIVE,DB + API + exchange,Initial balance snapshot,Create LIVE wallet from authenticated exchange balance,Initial allocated LIVE balance is recorded as snapshot and INITIAL_BALANCE cashflow.,PASS,WLEDGER-04/WLEDGER-05 focused wallet/runtime tests,NEEDS_PROD_SAMPLE,Feature implemented; no final production wallet preview evidence in V1FINAL,Medium,Portfolio accounting truth,P1,Backend + QA,Capture wallet preview for a production LIVE wallet after next ledger refresh.,2026-04-30,Separates contributed capital from bot PnL.
WALLET-LIVE-LEDGER-002,wallets,cashflow ledger,LIVE,Exchange + DB + API,Deposits/withdrawals classification,Exchange cashflow history ingestion,Deposits increase contributed capital; withdrawals reduce it; raw balance drift is not bot PnL.,PASS,WLEDGER-03/WLEDGER-05 classifier tests; live-wallet-cashflow-ledger-contract.md,NEEDS_PROD_SAMPLE,No production deposit/withdrawal replay evidence captured yet,Medium,PnL/accounting misclassification,P1,Backend + QA,Run controlled prod/stage cashflow-history ingestion proof.,2026-04-30,This directly matches the user’s 5 + 10 USDT scenario.
WALLET-PREVIEW-001,wallets,preview UI,LIVE / PAPER,Web + API,Wallet analytics preview,Wallet table preview route,"Wallet rows link to preview and show summary, equity timeline, and cashflow events.",PASS,"WLEDGER-07..09 wallet web tests, typecheck, build, i18n audit",NEEDS_PROD_UI_CHECK,No current browser screenshot proof linked after latest deploy,Medium,Operator insight,P1,Frontend + QA,Browser-check wallet preview on production current SHA.,2026-04-30,UI uses existing dashboard patterns by design.
DASH-WALLET-KPI-001,dashboard-home,wallet sidebar,LIVE percent allocation,Web,Delta from start,Runtime equity plus selected net PnL,LIVE percent allocation derives delta denominator from runtime portfolio minus selected net PnL instead of rendering dash.,PASS,RuntimeSidebarSection focused test; UXFIX-2026-04-30-B,PASS,Operator reported dashboard issue was fixed; production UI deploy later verified generally via build-info/smoke,Medium,Wallet KPI trust,P1,Frontend + QA,Add screenshot/browser proof in final UI matrix.,2026-04-30,This does not replace the ledger model; it fixes dashboard runtime KPI.
DASH-POS-ACTIONS-001,dashboard-home,positions table,LIVE / PAPER,Web,Row action styling,Edit/close buttons,Positions action buttons reuse shared table action styles.,PASS,runtime table presenter test; UXFIX-2026-04-30-A,PASS,Production web deploy current; visual evidence not separately screenshotted,Low,UI consistency,P2,Frontend,Include in next dashboard screenshot review.,2026-04-30,Functionality unchanged; style parity only.
HISTORY-ACTOR-001,dashboard-home,runtime history,LIVE / PAPER,Web,Opened/closed actor truth,Imported open and closed rows,History table renders one truthful Opened/Closed by column using closeInitiator for closes and origin for opens.,PASS,runtimeUiHelpers web test; V1SAFE-18,PASS,Production payload inspected during V1SAFE-18,Medium,Operator auditability,P1,Frontend + QA,Keep history helper regression coverage.,2026-04-30,Removed redundant history subheading at the same time.
HISTORY-REASON-001,dashboard-home,runtime history,LIVE / PAPER,Web,Close reason display,Imported OPEN anchor with POSITION_LIFETIME,Imported OPEN lifecycle anchors are not shown as true position-lifetime closes.,PASS,runtimeUiHelpers web test; V1SAFE-17,PASS,Protected production payload/code inspection in V1SAFE-17,Medium,Operator auditability,P1,Frontend + QA,Keep reason-badge regression coverage.,2026-04-30,Backend contract intentionally reuses POSITION_LIFETIME for open anchors.
EXCHANGE-BINANCE-FUT-001,exchange,Binance adapter,LIVE / FUTURES,Exchange boundary,Futures execution adapter,Signal -> order -> exchange update -> position -> takeover/runtime visibility,LIVE execution stays behind approved exchange boundary and uses configured Binance Futures adapter.,PASS,V1LIVE-A closure; v1live-binance-execution-and-takeover-hardening-plan-2026-04-26.md,PASS,Repeated production DOGE/XRP live futures checks after V1LIVE-A,High,Real exchange side effects,P0,Backend + Exchange,Keep exact adapter selection tests in live regression pack.,2026-05-01,"Binance SPOT and FUTURES are the first supported adapter family, not a universal default."
MARKETDATA-FUT-001,market-data,futures prices,LIVE / FUTURES,Exchange + engine,Futures mark/market data,Runtime protection and PnL inputs,"Futures bot should use futures market data path, not spot fallback, for runtime decisions and display.",PASS,futures market-data gateway packs in V1DOGE-02 validation,PARTIAL,Production DOGE FUTURES path observed; explicit mark-price source artifact still recommended,Medium,Wrong venue pricing,P0,Backend + Exchange + QA,Add prod evidence row showing source price fields for futures bot.,2026-05-01,Important after user suspected spot/futures confusion.
MARKETSTREAM-001,market-stream,transport,LIVE / PAPER,Worker + API,Runtime stream freshness,Active workers and market data,Runtime freshness stays within thresholds and stale stream alerts remain clear.,PASS,workers-runtime-freshness tests; ops runtime freshness scripts,PASS,v1final-01 prod runtime freshness PASS runningCount=4,High,Runtime stale decisions,P0,Ops + Backend,Run runtime freshness in every deploy gate.,2026-05-01,Decision activity check is intentionally SKIP/not required for running sessions.
BACKTEST-PARITY-001,backtests,strategy parity,BACKTEST vs LIVE/PAPER,Engine + API,Shared strategy evaluator,Runtime/backtest indicator projection and evaluation,Backtest and runtime reuse shared indicator kernel and avoid strategy-mode threshold fallback drift.,PASS,PAR/V1IND focused parity tests; backtestRuntimeKernelParity.test.ts,NOT_APPLICABLE,"Backtest parity is local/API evidence, not production live-money evidence",High,False backtest confidence,P1,Backend + QA,Keep parity harness in local regression pack.,2026-04-24,Production relevance is indirect through runtime shared kernel.
REPORTS-PNL-001,reports,performance reports,LIVE / PAPER / BACKTEST,API + web,PnL and drawdown summaries,Reports dashboard,Performance reporting views aggregate PnL/drawdown/fees/funding from canonical records.,COVERED_LOCAL,Module map and historical report tests; needs refreshed V1 explicit evidence,NOT_VERIFIED,No current production report evidence in V1FINAL,Low,Analytics trust,P2,Backend + Frontend + QA,Add report module to second audit pass.,2026-05-01,Not currently a final blocker for DOGE/live-money execution.
AUTH-OPS-001,auth,ops protected routes,production,API,Authenticated OPS access,"/workers/health, /workers/runtime-freshness, /alerts",Protected OPS endpoints reject anonymous access and pass with valid operator auth.,PASS,workers health/freshness/auth tests,PASS,"Authenticated production smoke, runtime freshness, rollback guard on 2026-05-01",High,Ops safety / unauthorized access,P0,Backend + Ops,Keep auth supplied through env only in evidence scripts.,2026-05-01,Secret-safe artifact guardrail already documented in learning journal.
OPS-DEPLOY-001,ops,deploy freshness,production,Web + API + GitHub/Coolify,Build identity,Production deployed SHA,Production web build-info must match the candidate before V1 evidence is claimed.,PASS,v1-final-test-structure-2026-05-01.md; v1gate-02-public-target-refresh-2026-05-07.md,PASS,GET /api/build-info returned 6a7c9889d24a55c870b32aa10cb284ede6db1c59 matching origin/main on 2026-05-07,High,Stale deploy evidence,P0,Ops,Check build-info before every final gate run.,2026-05-07,Previous blocker was production still on c081f224; current public deploy freshness is green but does not close restore stage protected manual or live-money gates.
OPS-RESTORE-001,ops,backup/restore,production,DB + Ops,Production restore drill,Current candidate DB restore proof,Production restore drill must pass against the correct production DB context before GO.,BLOCKED,Local restore dry-runs pass historically,FAIL,v1-restore-drill-prod-2026-05-01T02-43-39-008Z.md; missing PROD_DB_CHECK_CONTAINER,High,Recovery readiness,P0,Ops/Release,Provide PROD_DB_CHECK_CONTAINER/USER/NAME or run drill on VPS/Coolify context.,2026-05-01,Current release-gate hard blocker.
OPS-STAGE-001,ops,stage environment,stage,Coolify/VPS,Stage smoke,stage-api and stage web routes,Stage should be reachable for rehearsal evidence unless explicitly waived by release owner.,NOT_APPLICABLE,Local checks cannot restore remote stage,BLOCKED,v1excel-04-stage-refresh-503-2026-05-01.md; stage returns 503 no available server,High,Release rehearsal gap,P0,Ops/Release,Restore/redeploy stage Coolify resources or waive stage as release-owner decision.,2026-05-01,Current Coolify account did not expose Soar resources.
OPS-GO-NOGO-001,ops,release gate,production,Ops docs + scripts,Final V1 GO/NO-GO,Release-gate classification,Final gate must classify all evidence fresh/pass before GO.,PASS,runV1ReleaseGate.mjs reports explicit blockers,BLOCKED,v1-release-gate-prod-2026-05-01T02-44-00-227Z.md,High,False V1 declaration,P0,Ops/Release,"Resolve activationAudit, activationPlan, backupRestoreDrill blockers and rerun gate.",2026-05-01,The current correct decision is NO-GO/BLOCKED.
AUTH-FLOW-001,auth,public auth,WEB + API,Web + API,Registration,Public register route and API register,User can create an account through validated register form and auth API.,PASS,auth.e2e.test.ts; RegisterForm/useRegisterForm tests,NEEDS_PROD_UI_CHECK,No current production browser registration proof in final V1 evidence,Medium,Account onboarding,P1,Frontend + Backend + QA,Run production browser register smoke with non-real throwaway account or stage once restored.,2026-05-01,Discovered from auth routes and web pages.
AUTH-FLOW-002,auth,public auth,WEB + API,Web + API,Login,Public login route and API login,User can login and receive session cookie/JWT with error handling for bad credentials.,PASS,auth.e2e.test.ts; LoginForm/useLoginForm tests,PASS,Production auth used for protected smoke/runtime checks on 2026-05-01,High,Protected-route access,P0,Frontend + Backend + QA,Add browser screenshot proof for login success/failure in manual matrix.,2026-05-01,Protected OPS checks proved API auth path with provided operator.
AUTH-FLOW-003,auth,session,WEB + API,Web + API,Current user/session,GET /auth/me and dashboard route guard,Authenticated session is read and protected dashboard routes redirect/expire correctly.,PASS,auth.jwt/cookie tests; AuthContext/navigation tests,PARTIAL,Production protected API auth proven; browser route-guard proof not current,High,Session safety,P0,Frontend + Backend,Add production browser protected-route redirect proof.,2026-05-01,Includes no false session-expired warning behavior from historical auth hardening.
AUTH-FLOW-004,auth,session,WEB + API,Web + API,Logout,Logout route and client redirect,User logout clears session and returns to public/auth route.,PASS,auth.e2e.test.ts; AuthContext/Profile tests,NEEDS_PROD_UI_CHECK,No current production browser logout proof in final V1 evidence,Medium,Session safety,P1,Frontend + Backend + QA,Add browser logout smoke to manual matrix.,2026-05-01,Core API route exists.
ADMIN-USERS-001,admin,users,ADMIN,API + web,User administration,List and update users,Admin can list users and update user fields under ADMIN role guard.,PASS,admin/users e2e; AdminUsersPage.test.tsx,NOT_VERIFIED,No current production admin browser/API evidence in V1FINAL,Medium,Admin control surface,P2,Backend + Frontend,Run admin module smoke if admin remains launch scope.,2026-05-01,Not part of immediate money-path blockers.
ADMIN-SUBS-001,admin,subscription plans,ADMIN,API + web,Subscription plan administration,List and update plans,Admin can list and update subscription plan definitions under ADMIN role guard.,PASS,subscriptionPlans.e2e.test.ts; AdminSubscriptionsPage.test.tsx,NOT_VERIFIED,No current production admin subscription evidence in V1FINAL,Medium,Commercial admin surface,P2,Backend + Frontend,Run admin subscriptions smoke if billing/admin remains launch scope.,2026-05-01,Subscription billing remains staged/post-MVP in older scope docs.
PROFILE-BASIC-001,profile,basic profile,USER,API + web,Profile read/update/delete,Profile basic settings,User can read/update profile and delete user through protected profile routes.,PASS,basic.e2e.test.ts; profile component tests,NEEDS_PROD_UI_CHECK,No current production profile UI proof in final V1 evidence,Medium,User account management,P1,Frontend + Backend,Run production profile settings smoke.,2026-05-01,Delete user/account paths are high impact and should be fail-closed.
PROFILE-SECURITY-001,profile,security,USER,API + web,Password update,Profile security password change,User can update password through rate-limited protected route and UI validation.,PASS,security.e2e.test.ts; Security.test.tsx,NEEDS_PROD_UI_CHECK,No current production password-change proof in final V1 evidence,High,Account security,P1,Frontend + Backend + Security,Run non-destructive password-change flow on test account or stage.,2026-05-01,Rate limiting exists on route.
PROFILE-APIKEY-001,profile,api keys,USER / LIVE,API + web + exchange,API key CRUD,Create/list/update/delete exchange API keys,User can manage exchange keys with protected ownership checks and UI state.,PASS,apiKey.e2e.test.ts; ApiKeyForm/ApiKeysList tests,PARTIAL,Production live account is configured and used; full CRUD not rerun in final V1 evidence,High,Exchange credential safety,P0,Backend + Frontend + Security,Run API-key list/test proof; avoid destructive rotate/delete on real key unless planned.,2026-05-01,Do not expose secrets in artifacts.
PROFILE-APIKEY-002,profile,api keys,USER / LIVE,API + exchange,Connection test,Test new and stored Binance API keys,API key test endpoint probes exchange permissions without persistence and rate-limits attempts.,PASS,apiKey.e2e.test.ts; binanceApiKeyProbe.service.test.ts; ApiKeyForm.test.tsx,PARTIAL,Production key is known working through LIVE runtime but explicit test endpoint proof not current,High,Live exchange readiness,P0,Backend + Frontend + QA,Run non-secret production API key test endpoint and record redacted result.,2026-05-01,Connection test was a prior onboarding feature.
PROFILE-SUBS-001,profile,subscription,USER,API + web,Subscription read and checkout intent,Current subscription plus checkout-intent creation,User can view subscription and request checkout intent through rate-limited route.,PASS,subscription.e2e.test.ts; Subscription.test.tsx,NOT_VERIFIED,No current production subscription proof in final V1 evidence,Medium,Commercial readiness,P2,Backend + Frontend,Classify billing launch scope before requiring prod proof.,2026-05-01,Stripe/billing may be post-V1 depending current launch decision.
MARKETS-CRUD-001,markets,market universes,USER,API + web,Market universe CRUD,List/create/edit/delete market universes,User can manage market universes with ownership isolation and UI forms/tables.,PASS,markets.e2e.test.ts; MarketUniverseForm/MarketUniversesTable tests,NEEDS_PROD_UI_CHECK,No current production markets browser proof in final V1 evidence,High,Bot market scope correctness,P0,Frontend + Backend + QA,Run production market universe list/edit smoke on non-critical universe.,2026-05-01,Feeds bot symbol-group market scope.
MARKETS-CATALOG-001,markets,market catalog,USER,API,Market catalog,List exchange symbols and filters,Market catalog endpoint provides available symbols for universe builder.,PASS,markets.e2e.test.ts; exchange market catalog tests,PARTIAL,Production futures symbols indirectly used by DOGE runtime; catalog endpoint proof not current,High,Wrong symbol universe,P0,Backend + Exchange + QA,Call production catalog endpoint and record Binance Futures sample redacted if needed.,2026-05-01,Important for avoiding spot/futures scope drift.
STRAT-CRUD-001,strategies,CRUD/import/export,USER,API + web,Strategy CRUD,List/create/detail/edit/delete strategies,User can manage strategies with validation and ownership isolation.,PASS,strategies.e2e.test.ts; StrategiesList/StrategyForm tests,NEEDS_PROD_UI_CHECK,Production strategy edit hardening verified historically but full CRUD not current,High,Strategy config safety,P0,Frontend + Backend + QA,Run production strategy create/edit/delete on test strategy or stage.,2026-05-01,Active-bot lock row covers one safety child scenario.
STRAT-IO-001,strategies,import/export,USER,API,Import/export strategy,Strategy JSON import and export,Strategy configs can be exported and imported through validated API routes.,PASS,strategies.e2e.test.ts,NOT_VERIFIED,No production import/export proof in final V1 evidence,Medium,Config portability,P1,Backend + QA,Add local/prod import-export smoke with test strategy.,2026-05-01,Route exists but not part of recent incident evidence.
STRAT-IND-001,strategies,indicators,USER,API + web,Indicator metadata registry,List indicator metadata for builder,Strategy builder metadata is served from canonical indicator registry and presented in UI.,PASS,indicators.service.test.ts; Indicators/indicator taxonomy tests; V1IND-A closure,PARTIAL,Production strategy builder uses deployed API but no current endpoint proof captured,Medium,Strategy builder correctness,P1,Backend + Frontend,Call production /dashboard/strategies/indicators and capture sample.,2026-05-01,Shared indicator registry was closed in V1IND-A.
BOTS-CRUD-001,bots,CRUD,USER / LIVE / PAPER,API + web,Bot CRUD,List/create/detail/edit/delete bots,User can manage bots with wallet/market/strategy links and safety validation.,PASS,bots.e2e.test.ts; BotCreateEditForm/BotsListTable/BotsManagement tests,PARTIAL,Production has live and paper bots visible/used; full CRUD not rerun on current SHA,High,Runtime ownership and launch configuration,P0,Frontend + Backend + QA,Run production bot list/detail/edit non-dangerous smoke; create/delete only on safe paper bot.,2026-05-01,Current production has 2 bots from protected inspection.
BOTS-MARKETGROUP-001,bots,market groups,USER,API,Bot market-group CRUD,Create/update/delete bot market groups and attach strategies,Canonical bot market scope and strategy links are managed transactionally.,PASS,bots.e2e.ts market-group cases; bots.orchestration.e2e.test.ts,PARTIAL,Production selected live bot scope indirectly verified; route-level market-group proof not current,High,One bot = wallet + market scope + strategy contract,P0,Backend + QA,Add production read-only runtime-graph proof for market groups/strategy links.,2026-05-01,Core singular bot architecture.
BOTS-RUNTIME-READ-001,bots,runtime sessions,USER / LIVE / PAPER,API + web,Runtime session list/detail,List sessions and selected session details,Runtime sessions are listed with correct running/completed state and detail payloads.,PASS,bots.e2e.test.ts; bots.monitoring-aggregate.e2e.test.ts; BotsManagement tests,PASS,Production protected inspection found running live and paper sessions on 2026-05-01,High,Runtime operator truth,P0,Backend + Frontend + QA,Keep runtime session read in production deploy smoke extension.,2026-05-01,RunningCount=4 in OPS freshness.
BOTS-RUNTIME-STATS-001,bots,runtime symbol stats,USER / LIVE / PAPER,API + web,Symbol stats,Runtime session symbol stats,Selected bot runtime symbol stats expose canonical configured/active market truth.,PASS,bots.runtime-scope.e2e.test.ts; bots.market-universe-contract.e2e.test.ts,PARTIAL,Production DOGE selected row verified; full symbol-stats endpoint not current,High,Symbol leakage and wrong strategy display,P0,Backend + Frontend + QA,Run production symbol-stats read for active live bot.,2026-05-01,Important after selected-bot scope hardening.
BOTS-RUNTIME-TRADES-001,bots,runtime trades/history,USER / LIVE / PAPER,API + web,Runtime trades history,Session trades and history table,Runtime trades/history expose canonical close/open attribution and DCA lifecycle rows.,PASS,bots.runtime-history-parity.e2e.test.ts; runtimeUiHelpers tests,PASS,Production DOGE history inspected on 2026-05-01 with closeReason/initiator,High,Operator auditability,P0,Backend + Frontend + QA,Capture current trades endpoint artifact for DOGE/live bot after next lifecycle.,2026-05-01,Related web rows cover actor/reason presentation.
BOTS-ASSISTANT-001,bots,assistant,USER,API + web,Assistant config,Main assistant and subagent config CRUD,User can configure assistant stack and subagent slots for a bot.,PASS,bots.orchestration.e2e.test.ts; assistant UI pages exist,NOT_VERIFIED,No production assistant config proof in final V1 evidence,Medium,AI config correctness,P2,Backend + Frontend + AI QA,Decide whether assistant is V1 launch scope; if yes run AI testing protocol scenarios.,2026-05-01,AI features require separate red-team evidence if launch-scoped.
BOTS-ASSISTANT-002,bots,assistant,USER,API + web,Assistant dry-run,Dry-run decision timeline,Assistant dry-run returns explainable trace and UI timeline displays per-slot status/latency.,PASS,bots.orchestration.e2e.test.ts; assistant dry-run UI prior closure,NOT_VERIFIED,No production assistant dry-run proof in final V1 evidence,Medium,AI explainability,P2,Backend + Frontend + AI QA,Run dry-run only if assistant remains enabled/launch-scoped.,2026-05-01,Do not mix with live trading authority without AI protocol.
ORDERS-LIST-001,orders,orders table,USER / LIVE / PAPER,API + web,Order list/detail,List and inspect orders,Order views expose open/closed/pending orders with ownership isolation.,PASS,orders.service.test.ts; orders-positions.e2e.test.ts; dashboard open-orders tests,PARTIAL,Production pending/order visibility was historically inspected; current full orders endpoint proof missing,High,Operator order truth,P0,Backend + Frontend + QA,Run production authenticated API orders read for active live bot/wallet without mutation and confirm web legacy redirect to runtime view.,2026-05-01,Important for pending external DCA visibility; web /dashboard/orders is a legacy redirect while API /dashboard/orders remains canonical.
ORDERS-MANUAL-CONTEXT-001,orders,manual order,USER / LIVE / PAPER,API + web,Manual order context,GET /dashboard/orders/manual-context,Manual order context provides price reference constraints and bot execution metadata with market fallback.,PASS,manual-order context e2e; HomeLiveWidgets manual-order tests,PARTIAL,Production manual context contributed to earlier fix; current endpoint proof not captured,High,Manual order safety,P0,Backend + Frontend + QA,Capture production manual-context for current selected bot/symbol with secrets redacted.,2026-05-01,Prevents stale symbol/price context.
ORDERS-PAPER-MARKET-001,orders,manual paper order,PAPER,API + web,Paper market order,Market order without explicit request price,PAPER market orders can fill immediately using runtime/context price without exchange side effects.,PASS,orders.manual-paper-market.e2e.test.ts; manual-order web tests,NOT_APPLICABLE,Paper-only behavior; production live-money proof not applicable,Medium,Paper simulation ergonomics,P1,Backend + Frontend,Keep local regression in paper confidence suite.,2026-05-01,No real exchange side effect.
