id,source_id,target_id,relation_type,status,description,evidence,owner,last_verified_at,notes
REL-MANUAL-011,SOAR-COMP-RUNTIME-DATA-SECTION,SOAR-COMP-RUNTIME-DATA-PRESENTERS,uses,partially_verified,Runtime data section uses table presenters for order/action rendering.,apps/web/src/features/dashboard-home/components/home-live-widgets/runtimeDataTablePresenters.tsx,Frontend,2026-05-24,
REL-MANUAL-012,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-SERVICE-WEB-BOTS-API,uses,verified_local,Dashboard manual and runtime actions use the Web bots/order API service boundary.,docs/modules/web-orders.md,Frontend,2026-05-24,
REL-MANUAL-013,SOAR-SERVICE-WEB-BOTS-API,SOAR-API-ORDER-OPEN,calls,verified_local,Web service calls manual open-order endpoint.,apps/web/src/features/dashboard-home/components/HomeLiveWidgets.manual-order.test.tsx,Frontend,2026-05-24,
REL-MANUAL-014,SOAR-SERVICE-WEB-BOTS-API,SOAR-API-ORDER-CANCEL,calls,verified_local,Web service calls cancel endpoint for supported open-order actions.,apps/web/src/features/dashboard-home/components/HomeLiveWidgets.open-orders-actions.test.tsx,Frontend,2026-05-24,
REL-MANUAL-015,SOAR-SERVICE-WEB-BOTS-API,SOAR-API-ORDER-CLOSE,calls,verified_local,Web service calls close endpoint for supported close actions.,apps/web/src/features/dashboard-home/hooks/useCloseRuntimePositionAction.test.tsx,Frontend,2026-05-24,
REL-MANUAL-016,SOAR-API-ORDER-LIST,SOAR-CONTROLLER-ORDERS,delegates,verified_local,List route delegates to orders controller.,apps/api/src/modules/orders/orders.routes.ts,Backend,2026-05-24,
REL-MANUAL-017,SOAR-API-ORDER-GET,SOAR-CONTROLLER-ORDERS,delegates,verified_local,Get route delegates to orders controller.,apps/api/src/modules/orders/orders.routes.ts,Backend,2026-05-24,
REL-MANUAL-018,SOAR-API-MANUAL-CONTEXT,SOAR-CONTROLLER-ORDERS,delegates,verified,Manual context route delegates to orders controller.,apps/api/src/modules/orders/orders.routes.ts,Backend,2026-05-24,
REL-MANUAL-019,SOAR-API-ORDER-OPEN,SOAR-CONTROLLER-ORDERS,delegates,verified_local,Open route delegates to orders controller.,apps/api/src/modules/orders/orders.routes.ts,Backend,2026-05-24,
REL-MANUAL-020,SOAR-API-ORDER-CANCEL,SOAR-CONTROLLER-ORDERS,delegates,verified_local,Cancel route delegates to orders controller.,apps/api/src/modules/orders/orders.routes.ts,Backend,2026-05-24,
REL-MANUAL-021,SOAR-API-ORDER-CLOSE,SOAR-CONTROLLER-ORDERS,delegates,verified_local,Close route delegates to orders controller.,apps/api/src/modules/orders/orders.routes.ts,Backend,2026-05-24,
REL-MANUAL-022,SOAR-CONTROLLER-ORDERS,SOAR-TYPES-ORDERS,validates_with,verified_local,Controller parses request query/body through orders DTO schemas.,apps/api/src/modules/orders/orders.controller.ts,Backend,2026-05-24,
REL-MANUAL-023,SOAR-CONTROLLER-ORDERS,SOAR-SERVICE-ORDERS,delegates,verified_local,Controller delegates command and read behavior to orders service.,apps/api/src/modules/orders/orders.controller.ts,Backend,2026-05-24,
REL-MANUAL-024,SOAR-SERVICE-ORDERS,SOAR-SERVICE-MANUAL-CONTEXT,uses,verified,Orders service exposes manual context through dedicated service ownership.,apps/api/src/modules/orders/orders.manualContext.service.ts,Backend,2026-05-24,
REL-MANUAL-025,SOAR-SERVICE-MANUAL-CONTEXT,SOAR-SERVICE-ORDER-QUANTITY-RULES,uses,verified,Manual context derives min executable quantities from shared quantity rules.,apps/api/src/modules/orders/orders.manualContext.contractSize.service.test.ts,Backend,2026-05-24,
REL-MANUAL-026,SOAR-SERVICE-ORDERS,SOAR-SERVICE-PRETRADE,uses,verified_local,Open/live paths use pre-trade guards before exchange execution.,docs/architecture/06_execution-lifecycle.md,Backend,2026-05-24,
REL-MANUAL-027,SOAR-SERVICE-PRETRADE,SOAR-SERVICE-ORDER-QUANTITY-RULES,uses,verified_local,Pre-trade checks use quantity and notional rule helpers.,apps/api/src/modules/engine/preTrade.service.ts,Backend,2026-05-24,
REL-MANUAL-028,SOAR-SERVICE-ORDERS,SOAR-SERVICE-EXECUTION-ORCHESTRATOR,uses,verified_local,Order command lifecycle interacts with execution orchestration for live/runtime truth.,apps/api/src/modules/engine/executionOrchestrator.service.test.ts,Backend,2026-05-24,
REL-MANUAL-029,SOAR-SERVICE-ORDERS,SOAR-SERVICE-ORDER-LIFECYCLE,uses,verified_local,Orders service delegates lifecycle transition logic to lifecycle service.,apps/api/src/modules/orders/orders.lifecycle.service.ts,Backend,2026-05-24,
REL-MANUAL-030,SOAR-SERVICE-ORDER-LIFECYCLE,SOAR-DB-ORDER-FILL,reads_writes,verified_local,Lifecycle service consumes fill records before position/trade truth.,apps/api/src/modules/orders/orders-positions.e2e.test.ts,Backend,2026-05-24,
REL-MANUAL-031,SOAR-SERVICE-ORDER-EXCHANGE-EVENTS,SOAR-SERVICE-ORDER-LIFECYCLE,feeds,verified_local,Exchange events feed order lifecycle updates for fills and fees.,apps/api/src/modules/orders/orders.exchangeEvents.service.test.ts,Backend,2026-05-24,
REL-MANUAL-032,SOAR-SERVICE-ORDER-EXCHANGE-EVENTS,SOAR-DB-ORDER-FILL,reads_writes,verified_local,Exchange event service persists exchange fill records.,apps/api/src/modules/orders/orders.exchangeEvents.service.test.ts,Backend,2026-05-24,
REL-MANUAL-033,SOAR-FEATURE-MANUAL-ORDER,SOAR-TEST-ORDER-SERVICE,verified_by,verified_local,Manual order feature is covered by orders service tests.,apps/api/src/modules/orders/orders.service.test.ts,QA,2026-05-24,
REL-MANUAL-034,SOAR-FEATURE-MANUAL-ORDER,SOAR-TEST-ORDER-POSITIONS-E2E,verified_by,verified_local,Manual order feature is covered by DB-backed order-position tests.,apps/api/src/modules/orders/orders-positions.e2e.test.ts,QA,2026-05-24,
REL-MANUAL-035,SOAR-FEATURE-MANUAL-ORDER,SOAR-TEST-WEB-MANUAL-ORDER,verified_by,verified_local,Manual order feature is covered by Dashboard Home manual order tests.,apps/web/src/features/dashboard-home/components/HomeLiveWidgets.manual-order.test.tsx,QA,2026-05-24,
REL-MANUAL-036,SOAR-FEATURE-MANUAL-ORDER,SOAR-DOC-WEB-ORDERS,documented_by,partially_verified,Manual order and order UI ownership are documented in Web Orders docs.,docs/modules/web-orders.md,Documentation,2026-05-24,
REL-POS-001,SOAR-FEATURE-POSITIONS,SOAR-DOC-API-POSITIONS,documented_by,verified_local,Positions API module is documented by the API positions deep dive.,docs/modules/api-positions.md,Documentation,2026-05-24,
REL-POS-002,SOAR-FEATURE-POSITIONS,SOAR-DOC-WEB-POSITIONS,documented_by,verified_local,Positions Web ownership and legacy routing are documented by the Web positions deep dive.,docs/modules/web-positions.md,Documentation,2026-05-24,
REL-POS-003,SOAR-PAGE-POSITIONS-LEGACY,SOAR-PAGE-DASHBOARD,redirects_to,verified_local,Legacy positions route redirects operators to the canonical dashboard runtime surface.,apps/web/src/middleware.test.ts,Frontend,2026-05-24,
REL-POS-004,SOAR-COMP-RUNTIME-DATA-SECTION,SOAR-WEB-POSITIONS-SERVICE,uses,verified_local,Runtime table actions use the Web positions service for manual position updates.,apps/web/src/features/positions/services/positions.service.ts,Frontend,2026-05-24,
REL-POS-005,SOAR-WEB-POSITIONS-SERVICE,SOAR-API-POSITION-MANUAL-UPDATE,calls,verified_local,Web positions service calls manual update endpoint.,apps/web/src/features/positions/services/positions.service.ts,Frontend,2026-05-24,
REL-POS-006,SOAR-API-POSITION-LIST,SOAR-CONTROLLER-POSITIONS,delegates,verified_local,List route delegates to positions controller.,apps/api/src/modules/positions/positions.routes.ts,Backend,2026-05-24,
REL-POS-007,SOAR-API-POSITION-GET,SOAR-CONTROLLER-POSITIONS,delegates,verified_local,Get route delegates to positions controller.,apps/api/src/modules/positions/positions.routes.ts,Backend,2026-05-24,
REL-POS-008,SOAR-API-POSITION-LIVE-STATUS,SOAR-CONTROLLER-POSITIONS,delegates,verified_local,Live status route delegates to positions controller.,apps/api/src/modules/positions/positions.routes.ts,Backend,2026-05-24,
REL-POS-009,SOAR-API-POSITION-EXCHANGE-SNAPSHOT,SOAR-CONTROLLER-POSITIONS,delegates,verified_local,Exchange snapshot route delegates to positions controller.,apps/api/src/modules/positions/positions.routes.ts,Backend,2026-05-24,
REL-POS-010,SOAR-API-POSITION-TAKEOVER-STATUS,SOAR-CONTROLLER-POSITIONS,delegates,verified_local,Takeover status route delegates to positions controller.,apps/api/src/modules/positions/positions.routes.ts,Backend,2026-05-24,
REL-POS-011,SOAR-API-POSITION-TAKEOVER-REBIND,SOAR-CONTROLLER-POSITIONS,delegates,verified_local,Takeover rebind route delegates to positions controller.,apps/api/src/modules/positions/positions.routes.ts,Backend,2026-05-24,
REL-POS-012,SOAR-API-POSITION-ORPHAN-REPAIR,SOAR-CONTROLLER-POSITIONS,delegates,verified_local,Orphan repair route delegates to positions controller.,apps/api/src/modules/positions/positions.routes.ts,Backend,2026-05-24,
REL-POS-013,SOAR-API-POSITION-MANAGEMENT-MODE,SOAR-CONTROLLER-POSITIONS,delegates,verified_local,Management-mode route delegates to positions controller.,apps/api/src/modules/positions/positions.routes.ts,Backend,2026-05-24,
REL-POS-014,SOAR-API-POSITION-MANUAL-UPDATE,SOAR-CONTROLLER-POSITIONS,delegates,verified_local,Manual update route delegates to positions controller.,apps/api/src/modules/positions/positions.routes.ts,Backend,2026-05-24,
REL-POS-015,SOAR-CONTROLLER-POSITIONS,SOAR-TYPES-POSITIONS,validates_with,verified_local,Positions controller parses route input through positions DTO schemas.,apps/api/src/modules/positions/positions.controller.ts,Backend,2026-05-24,
REL-POS-016,SOAR-CONTROLLER-POSITIONS,SOAR-SERVICE-POSITIONS,delegates,verified_local,Positions controller delegates read update snapshot takeover and repair behavior to positions service.,apps/api/src/modules/positions/positions.controller.ts,Backend,2026-05-24,
REL-POS-017,SOAR-CONTROLLER-POSITIONS,SOAR-SERVICE-LIVE-POSITION-RECONCILIATION,uses,verified_local,Controller reads live reconciliation loop status and invokes reconciliation during orphan repair.,apps/api/src/modules/positions/positions.controller.ts,Backend,2026-05-24,
REL-POS-018,SOAR-SERVICE-POSITIONS,SOAR-DB-POSITION,reads_writes,verified_local,Positions service reads and mutates owner-scoped Position rows.,apps/api/src/modules/positions/positions.service.ts,Backend,2026-05-24,
REL-POS-019,SOAR-SERVICE-POSITIONS,SOAR-FEATURE-EXCHANGE-ADAPTER,uses,verified_local,Positions snapshot service uses authenticated exchange read capability boundary.,docs/modules/api-positions.md,Backend,2026-05-24,
REL-POS-020,SOAR-SERVICE-POSITIONS,SOAR-SERVICE-POSITION-SNAPSHOT-NORMALIZATION,uses,verified_local,Positions service normalizes exchange snapshot payloads before returning or reconciling them.,apps/api/src/modules/positions/positions.exchangeSnapshotNormalization.ts,Backend,2026-05-24,
REL-POS-021,SOAR-SERVICE-LIVE-POSITION-RECONCILIATION,SOAR-SERVICE-POSITIONS,uses,verified_local,Live reconciliation fetches exchange snapshots through positions service APIs.,apps/api/src/modules/positions/livePositionReconciliation.service.ts,Backend,2026-05-24,
REL-POS-022,SOAR-SERVICE-LIVE-POSITION-RECONCILIATION,SOAR-DB-POSITION,reads_writes,verified_local,Live reconciliation creates updates or marks exchange synced positions from exchange truth.,apps/api/src/modules/positions/livePositionReconciliation.service.ts,Backend,2026-05-24,
REL-POS-023,SOAR-SERVICE-LIVE-POSITION-RECONCILIATION,SOAR-SERVICE-RUNTIME-AUTOMATION,uses,verified_local,Recovered managed LIVE positions may trigger runtime position automation when ownership is strong enough.,apps/api/src/modules/positions/livePositionReconciliation.service.ts,Backend,2026-05-24,
REL-POS-024,SOAR-FEATURE-POSITIONS,SOAR-TEST-POSITIONS-SERVICE,verified_by,verified_local,Positions feature is covered by service and list tests.,apps/api/src/modules/positions/positions.service.test.ts,QA,2026-05-24,
REL-POS-025,SOAR-FEATURE-POSITIONS,SOAR-TEST-POSITIONS-SNAPSHOT,verified_by,verified_local,Positions exchange snapshot behavior is covered by route and normalization tests.,apps/api/src/modules/positions/positions.exchangeSnapshot.e2e.test.ts,QA,2026-05-24,
REL-POS-026,SOAR-FEATURE-POSITIONS,SOAR-TEST-POSITIONS-RECONCILIATION,verified_by,verified_local,Positions LIVE reconciliation behavior is covered by reconciliation and live-status tests.,apps/api/src/modules/positions/livePositionReconciliation.service.test.ts,QA,2026-05-24,
REL-POS-027,SOAR-FEATURE-POSITIONS,SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN,verified_by,verified_local,Positions takeover and orphan repair behavior are covered by e2e tests.,apps/api/src/modules/positions/positions.takeover-status.e2e.test.ts,QA,2026-05-24,
REL-POS-028,SOAR-FEATURE-POSITIONS,SOAR-TEST-WEB-POSITIONS,verified_by,verified_local,Web positions legacy routing and embedded runtime UX have focused Web tests.,apps/web/src/middleware.test.ts,QA,2026-05-24,
REL-POS-029,SOAR-SERVICE-LIVE-POSITION-RECONCILIATION,SOAR-DOC-LIVE-POSITION-RESTART,governed_by,verified_local,Live reconciliation continuity follows the LIVE position restart continuity contract.,docs/architecture/reference/live-position-restart-continuity-contract.md,Architecture,2026-05-24,
REL-BOTRT-001,SOAR-PAGE-BOT-RUNTIME,SOAR-COMP-BOTS-MANAGEMENT,contains,verified_local,Bot runtime route renders the BotsManagement monitoring surface.,apps/web/src/app/dashboard/bots/[id]/runtime/page.test.tsx,Frontend,2026-05-24,
REL-BOTRT-002,SOAR-COMP-BOTS-MANAGEMENT,SOAR-SERVICE-WEB-BOTS-API,uses,verified_local,BotsManagement runtime monitoring calls the Web bots API service.,apps/web/src/features/bots/services/bots.service.ts,Frontend,2026-05-24,
REL-BOTRT-003,SOAR-SERVICE-WEB-BOTS-API,SOAR-API-BOT-RUNTIME-AGGREGATE,calls,verified_local,Web bots service calls aggregate runtime monitoring endpoint.,apps/web/src/features/bots/services/bots.service.ts,Frontend,2026-05-24,
REL-BOTRT-004,SOAR-SERVICE-WEB-BOTS-API,SOAR-API-BOT-RUNTIME-CLOSE-POSITION,calls,verified_local,Web bots service calls runtime close-position endpoint.,apps/web/src/features/bots/services/bots.service.ts,Frontend,2026-05-24,
REL-BOTRT-005,SOAR-API-BOT-RUNTIME-AGGREGATE,SOAR-CONTROLLER-BOTS,delegates,verified_local,Aggregate route delegates to bots controller.,apps/api/src/modules/bots/bots.routes.ts,Backend,2026-05-24,
REL-BOTRT-006,SOAR-API-BOT-RUNTIME-POSITIONS,SOAR-CONTROLLER-BOTS,delegates,verified_local,Runtime positions route delegates to bots controller.,apps/api/src/modules/bots/bots.routes.ts,Backend,2026-05-24,
REL-BOTRT-007,SOAR-API-BOT-RUNTIME-CLOSE-POSITION,SOAR-CONTROLLER-BOTS,delegates,verified_local,Runtime close-position route delegates to bots controller.,apps/api/src/modules/bots/bots.routes.ts,Backend,2026-05-24,
REL-BOTRT-008,SOAR-CONTROLLER-BOTS,SOAR-TYPES-BOTS,validates_with,verified_local,Bots controller parses runtime queries and close payloads through bot DTO schemas.,apps/api/src/modules/bots/bots.controller.ts,Backend,2026-05-24,
REL-BOTRT-009,SOAR-CONTROLLER-BOTS,SOAR-SERVICE-RUNTIME-AGGREGATE,delegates,verified_local,Controller delegates aggregate monitoring reads to runtime aggregate service.,apps/api/src/modules/bots/bots.controller.ts,Backend,2026-05-24,
REL-BOTRT-010,SOAR-CONTROLLER-BOTS,SOAR-SERVICE-RUNTIME-POSITIONS-READ,delegates,verified_local,Controller delegates runtime positions reads to runtime positions read service.,apps/api/src/modules/bots/bots.controller.ts,Backend,2026-05-24,
REL-BOTRT-011,SOAR-CONTROLLER-BOTS,SOAR-SERVICE-RUNTIME-POSITION-COMMAND,delegates,verified_local,Controller delegates close-position command to runtime position command service.,apps/api/src/modules/bots/bots.controller.ts,Backend,2026-05-24,
REL-BOTRT-012,SOAR-SERVICE-RUNTIME-AGGREGATE,SOAR-SERVICE-RUNTIME-SESSIONS,uses,verified_local,Aggregate service selects runtime sessions before fan-out reads.,apps/api/src/modules/bots/runtimeMonitoringAggregateRead.service.ts,Backend,2026-05-24,
REL-BOTRT-013,SOAR-SERVICE-RUNTIME-AGGREGATE,SOAR-SERVICE-RUNTIME-POSITIONS-READ,uses,verified_local,Aggregate service pulls runtime positions read models.,apps/api/src/modules/bots/runtimeMonitoringAggregateRead.service.ts,Backend,2026-05-24,
REL-BOTRT-014,SOAR-SERVICE-RUNTIME-AGGREGATE,SOAR-SERVICE-RUNTIME-SYMBOL-STATS,uses,verified_local,Aggregate service pulls runtime symbol stats.,apps/api/src/modules/bots/runtimeMonitoringAggregateRead.service.ts,Backend,2026-05-24,
REL-BOTRT-015,SOAR-SERVICE-RUNTIME-AGGREGATE,SOAR-SERVICE-RUNTIME-TRADES,uses,verified_local,Aggregate service pulls runtime trades.,apps/api/src/modules/bots/runtimeMonitoringAggregateRead.service.ts,Backend,2026-05-24,
REL-BOTRT-016,SOAR-SERVICE-RUNTIME-POSITIONS-READ,SOAR-DB-POSITION,reads,verified_local,Runtime positions read service reads Position rows for selected-bot runtime display.,apps/api/src/modules/bots/runtimeSessionPositionsRead.service.ts,Backend,2026-05-24,
REL-BOTRT-017,SOAR-SERVICE-RUNTIME-POSITIONS-READ,SOAR-SERVICE-LIVE-POSITION-RECONCILIATION,uses,verified_local,Runtime positions read model understands exchange-synced imported position provenance.,docs/modules/api-bots.md,Backend,2026-05-24,
REL-BOTRT-018,SOAR-SERVICE-RUNTIME-POSITION-COMMAND,SOAR-DB-POSITION,reads_writes,verified_local,Runtime close command validates and mutates position close lifecycle through approved boundaries.,apps/api/src/modules/bots/runtimeSessionPositionCommand.service.test.ts,Backend,2026-05-24,
REL-BOTRT-019,SOAR-SERVICE-RUNTIME-POSITION-COMMAND,SOAR-FEATURE-EXCHANGE-ADAPTER,uses,verified_local,Runtime close command can reach exchange-backed boundaries only after fail-closed checks.,docs/modules/api-bots.md,Backend,2026-05-24,
REL-BOTRT-020,SOAR-FEATURE-BOT-RUNTIME,SOAR-TEST-BOT-RUNTIME-API,verified_by,verified_local,Bot Runtime API behavior is covered by focused runtime API tests.,history/audits/bots-runtime-truth-audit-2026-05-19.md,QA,2026-05-24,
REL-BOTRT-021,SOAR-FEATURE-BOT-RUNTIME,SOAR-TEST-BOT-RUNTIME-WEB,verified_by,verified_local,Bot Runtime Web behavior is covered by focused runtime Web tests.,history/audits/bots-runtime-truth-audit-2026-05-19.md,QA,2026-05-24,
REL-BOTRT-022,SOAR-FEATURE-BOT-RUNTIME,SOAR-DOC-API-BOTS,documented_by,verified_local,Bot Runtime API behavior is documented in API Bots docs.,docs/modules/api-bots.md,Documentation,2026-05-24,
REL-BOTRT-023,SOAR-FEATURE-BOT-RUNTIME,SOAR-DOC-WEB-BOTS,documented_by,verified_local,Bot Runtime Web behavior is documented in Web Bots docs.,docs/modules/web-bots.md,Documentation,2026-05-24,
REL-EXCH-DEEP-001,SOAR-FEATURE-EXCHANGE-ADAPTER,SOAR-SERVICE-EXCHANGE-CAPABILITIES,owns,verified_local,Exchange feature owns broad capability family gates.,docs/modules/api-exchange.md,Backend,2026-05-24,
REL-EXCH-DEEP-002,SOAR-FEATURE-EXCHANGE-ADAPTER,SOAR-SERVICE-EXCHANGE-EXECUTION-CAPABILITY,owns,verified_local,Exchange feature owns exact operation support gates.,docs/architecture/reference/exchange-access-ownership-matrix.md,Backend,2026-05-24,
REL-EXCH-DEEP-003,SOAR-FEATURE-EXCHANGE-ADAPTER,SOAR-SERVICE-EXCHANGE-AUTH-READ-CONTRACT,owns,verified_local,Exchange feature owns authenticated read support truth.,apps/api/src/modules/exchange/exchangeAuthenticatedReadContract.service.ts,Backend,2026-05-24,
REL-EXCH-DEEP-004,SOAR-SERVICE-EXCHANGE-AUTH-READ,SOAR-SERVICE-EXCHANGE-AUTH-READ-CONTRACT,governed_by,verified_local,Authenticated read service is governed by authenticated read support contract.,apps/api/src/modules/exchange/exchangeAuthenticatedRead.service.test.ts,Backend,2026-05-24,
REL-EXCH-DEEP-005,SOAR-SERVICE-EXCHANGE-ADAPTER-BOUNDARY,SOAR-SERVICE-EXCHANGE-EXECUTION-CAPABILITY,governed_by,verified_local,Adapter boundary checks exact operation support before supported operations.,apps/api/src/modules/exchange/exchangeAdapterBoundary.service.ts,Backend,2026-05-24,
REL-EXCH-DEEP-006,SOAR-SERVICE-EXCHANGE-AUTH-READ,SOAR-SERVICE-EXCHANGE-CONNECTOR-FACTORY,uses,verified_local,Authenticated reads construct clients through exchange connector factory.,apps/api/src/modules/exchange/exchangeAuthenticatedRead.service.ts,Backend,2026-05-24,
REL-EXCH-DEEP-007,SOAR-SERVICE-EXCHANGE-CONNECTOR-FACTORY,SOAR-SERVICE-CCXT-FUTURES-CONNECTOR,uses,verified_local,Connector factory creates CCXT futures connectors for futures contexts.,apps/api/src/modules/exchange/exchangeConnectorFactory.service.test.ts,Backend,2026-05-24,
REL-EXCH-DEEP-008,SOAR-SERVICE-LIVE-ORDER-ADAPTER,SOAR-SERVICE-EXCHANGE-CONNECTOR-FACTORY,uses,verified_local,Live order adapter uses exchange-owned connector construction.,apps/api/src/modules/exchange/liveOrderAdapter.service.ts,Backend,2026-05-24,
REL-EXCH-DEEP-009,SOAR-SERVICE-LIVE-ORDER-ADAPTER,SOAR-SERVICE-LIVE-FEE-RECONCILIATION,uses,verified_local,Live order adapter reconciles final fee/fill metadata.,apps/api/src/modules/exchange/liveOrderAdapter.service.test.ts,Backend,2026-05-24,
